"Feature","System","Cohen_d"
"coleman_liau_index","continue",0.793116259096552
"coleman_liau_index","explain",0.680824013646895
"coleman_liau_index","create",0.673255222860191
"flesch_reading_ease","continue",0.0187686750808325
"flesch_reading_ease","explain",0.00809917940354697
"flesch_reading_ease","create",0.307379989532918
"lix","continue",0.373336851269275
"lix","explain",0.400752800141146
"lix","create",0.0870699007935478
"mean_word_length","continue",1.82761251199691
"mean_word_length","explain",1.5929850981502
"mean_word_length","create",1.7563641189406
