feature,persona,test,t-statistic,pvalue,bon,bh
alpha_ratio,human-continue,mannwhitneyu,9369.5,6.401051424039385e-106,4.6087570253083575e-104,4.6087570253083575e-104
pos_prop_PUNCT,human-continue,mannwhitneyu,152622.5,5.561567011923328e-98,4.004328248584796e-96,2.002164124292398e-96
pos_prop_PUNCT,human-explain,mannwhitneyu,151401.5,1.1410410770110902e-94,8.21549575447985e-93,9.995991626166268e-76
sentence_length_std,human-continue,mannwhitneyu,150819.0,4.140402087149801e-93,2.981089502747857e-91,9.906313930977364e-75
alpha_ratio,human-explain,mannwhitneyu,14368.5,3.5632573439218755e-92,2.56554528762375e-90,2.717745594923231e-74
alpha_ratio,human-create,mannwhitneyu,15759.5,1.6002841081388666e-88,1.152204557859984e-86,2.9422671566359886e-33
pos_prop_PUNCT,human-create,mannwhitneyu,145574.0,1.1702658568421202e-79,8.425914169263266e-78,3.224720184380595e-30
proportion_unique_tokens,human-explain,mannwhitneyu,144529.5,4.164996510902612e-77,2.9987974878498803e-75,6.40044413030525e-71
sentence_length_std,human-explain,mannwhitneyu,144272.5,1.7414081224041708e-76,1.253813848131003e-74,2.363749112411048e-62
dependency_distance_std,human-continue,mannwhitneyu,144065.0,5.503507739431869e-76,3.962525572390946e-74,2.3496447150936812e-37
second_order_coherence,human-explain,mannwhitneyu,20994.0,1.8873233298077994e-75,1.3588727974616156e-73,8.371863436042124e-56
first_order_coherence,human-explain,mannwhitneyu,21030.0,2.3017948906460303e-75,1.6572923212651417e-73,1.7756886060372336e-48
dependency_distance_std,human-explain,mannwhitneyu,143383.0,2.351749661153346e-74,1.6932597560304093e-72,2.6965574819278676e-37
duplicate_ngram_chr_fraction_5,human-explain,mannwhitneyu,22748.0,7.111604589228056e-72,5.1203553042442e-70,6.420064007663077e-33
second_order_coherence,human-continue,mannwhitneyu,25374.0,2.4954693206631172e-65,1.7967379108774445e-63,2.8373584091542155e-23
prop_adjacent_dependency_relation_mean,human-explain,t-test,-18.36729727325149,2.95468639051381e-63,2.1273742011699432e-61,2.961755935316179e-26
first_order_coherence,human-continue,mannwhitneyu,26414.0,4.910618896408126e-63,3.5356456054138507e-61,4.491014290685613e-22
duplicate_ngram_chr_fraction_6,human-explain,mannwhitneyu,27889.0,6.06985870606862e-62,4.3702982683694067e-60,5.2319733929334176e-20
proportion_unique_tokens,human-continue,t-test,17.583408786843055,7.212126097741842e-59,5.192730790374126e-57,4.15301974880035e-21
sentence_length_std,human-create,mannwhitneyu,135806.0,1.888346674767015e-57,1.359609605832251e-55,2.636755928384826e-15
dependency_distance_std,human-create,mannwhitneyu,135637.0,4.243899948258122e-57,3.055607962745848e-55,3.1881580987585803e-15
type_token_ratio,human-explain,mannwhitneyu,201733.5,1.2790346916175467e-56,9.209049779646337e-55,4.6139933054772745e-17
dependency_distance_mean,explain-create,t-test,16.396427533320686,2.1680311709114142e-52,1.560982443056218e-50,1.8255896603700332e-06
dependency_distance_mean,continue-explain,t-test,-15.812222203870542,2.7713703203449958e-49,1.995386630648397e-47,1.7645136396028959e-06
duplicate_ngram_chr_fraction_7,human-explain,mannwhitneyu,35011.5,2.959481010062056e-49,2.1308263272446804e-47,4.05969356489024e-14
mtld,explain-create,t-test,-15.288159991052922,1.2788924507969557e-47,9.20802564573808e-46,3.902132269148882e-05
sentence_length_mean,continue-explain,t-test,-15.08485624952986,1.6882158241273977e-45,1.2155153933717264e-43,0.00034279769072392954
mean_word_length,human-create,t-test,-14.950625674440746,8.22669310735674e-45,5.923219037296853e-43,1.0399046646237833e-09
pos_prop_VERB,human-continue,mannwhitneyu,35519.0,9.668621072039236e-45,6.96140717186825e-43,4.852536862250521e-13
type_token_ratio,human-continue,mannwhitneyu,191870.0,6.3247659976716005e-43,4.5538315183235524e-41,3.882774084440407e-12
mean_word_length,human-continue,t-test,-13.625244129664745,3.2633954376301127e-38,2.349644715093681e-36,2.3960383021717832e-11
pos_prop_VERB,human-explain,mannwhitneyu,39328.5,4.86878434236976e-38,3.5055247265062277e-36,7.10343600838333e-08
yules_k,explain-create,mannwhitneyu,69834.0,6.170422673869968e-36,4.442704325186377e-34,0.0029728757426294317
token_length_median,human-create,mannwhitneyu,46249.0,2.451889297196657e-34,1.765360293981593e-32,2.4622563153422165e-05
mean_word_length,human-explain,t-test,-12.656425359976904,1.2483457792678206e-33,8.988089610728309e-32,3.204598721121046e-06
duplicate_ngram_chr_fraction_8,human-explain,mannwhitneyu,45567.0,1.5092199747202103e-32,1.0866383817985515e-30,3.3243548327881175e-06
token_length_median,human-continue,mannwhitneyu,48010.5,2.261261540964751e-31,1.6281083094946208e-29,1.2886633601441553e-07
prop_adjacent_dependency_relation_mean,human-continue,t-test,-12.146289801727269,2.63081408265958e-31,1.8941861395148974e-29,4.998902320603752e-07
pos_prop_NOUN,human-create,mannwhitneyu,43574.5,3.1351446237033562e-31,2.2573041290664165e-29,0.002436964048484884
proportion_unique_tokens,human-create,mannwhitneyu,120569.0,3.472879832934632e-30,2.5004734797129352e-28,0.002376039947272762
duplicate_ngram_chr_fraction_5,human-continue,mannwhitneyu,45096.5,2.5217769286321995e-29,1.8156793886151836e-27,3.522678365717372e-06
mtld,human-create,t-test,-11.469747382496493,1.02801859263479e-28,7.401733866970487e-27,0.004013825536953179
first_order_coherence,explain-create,mannwhitneyu,119428.0,1.6640992272536876e-28,1.1981514436226551e-26,0.07632057813798039
proportion_unique_tokens,explain-create,mannwhitneyu,45526.5,2.4706850896968307e-28,1.778893264581718e-26,0.07781419338710907
pos_prop_CCONJ,human-explain,mannwhitneyu,46525.5,6.581679856258176e-27,4.738809496505887e-25,0.0005300370089278679
second_order_coherence,explain-create,mannwhitneyu,117779.0,3.6399839657980306e-26,2.620788455374582e-24,0.086346473116301
n_sentences,continue-explain,mannwhitneyu,117746.5,3.6603741414155396e-26,2.6354693818191886e-24,0.20093111186096402
sentence_length_median,continue-explain,mannwhitneyu,47459.0,4.917221493662171e-26,3.540399475436763e-24,0.21428826879242235
n_characters,human-continue,mannwhitneyu,47839.0,4.306028635020344e-25,3.100340617214648e-23,0.05825467598263359
sentence_length_std,continue-create,mannwhitneyu,48041.0,8.080416042167482e-25,5.817899550360587e-23,0.2739420981130629
pos_prop_DET,human-explain,t-test,-10.58681435994568,1.277693183351966e-24,9.199390920134155e-23,0.01590159234198622
second_order_coherence,human-create,mannwhitneyu,48647.0,5.2240850892722585e-24,3.761341264276026e-22,0.21946366458674096
oov_ratio,human-continue,mannwhitneyu,116148.5,5.911163352404615e-24,4.256037613731323e-22,0.19877234177210962
duplicate_ngram_chr_fraction_5,explain-create,mannwhitneyu,115859.0,1.348935500657332e-23,9.712335604732792e-22,0.595524249370134
n_stop_words,human-continue,mannwhitneyu,49109.5,2.1209636385309382e-23,1.5270938197422755e-21,0.2313896124361577
pos_prop_ADJ,human-continue,t-test,-10.107683147176152,1.0603783741896586e-22,7.634724294165542e-21,0.24710709907990916
mtld,continue-create,t-test,-10.031544419840856,1.2197149578795045e-22,8.781947696732433e-21,0.8063440328192718
connectives,explain-create,mannwhitneyu,114824.5,2.811954174481093e-22,2.0246070056263868e-20,1.015306569539782
type_token_ratio,explain-create,mannwhitneyu,82935.0,3.1002509720470895e-22,2.2321806998739044e-20,1.0273728640743927
type_token_ratio,human-create,mannwhitneyu,172855.0,5.199730362797836e-22,3.743805861214442e-20,1.1820941342519355
duplicate_ngram_chr_fraction_6,human-continue,mannwhitneyu,51554.0,1.0530526092741744e-21,7.581978786774057e-20,
simpson_diversity,human-continue,t-test,-9.84738570967462,1.095935767044537e-21,7.890737522720666e-20,
duplicate_ngram_chr_fraction_6,explain-create,mannwhitneyu,113804.5,4.067094096927822e-21,2.928307749788032e-19,
syllables_per_token_median,human-create,mannwhitneyu,64767.0,5.495085996556393e-21,3.9564619175206026e-19,
pos_prop_ADP,continue-explain,mannwhitneyu,51229.0,1.0306955081901593e-20,7.4210076589691475e-19,
first_order_coherence,human-create,mannwhitneyu,51284.0,1.2037567919626306e-20,8.667048902130941e-19,
duplicate_ngram_chr_fraction_9,human-explain,mannwhitneyu,55235.5,1.3079933482333545e-20,9.417552107280152e-19,
n_characters,human-create,mannwhitneyu,51316.5,1.3191556092243415e-20,9.49792038641526e-19,
pos_prop_ADV,continue-create,mannwhitneyu,113444.0,1.6313308702515262e-20,1.1745582265810989e-18,
duplicate_ngram_chr_fraction_5,continue-explain,mannwhitneyu,51439.0,1.830695124507208e-20,1.3181004896451898e-18,
duplicate_ngram_chr_fraction_5,human-create,mannwhitneyu,51762.0,2.0268361970599078e-20,1.4593220618831336e-18,
n_unique_tokens,explain-create,t-test,-9.440971151448505,3.8253644104745847e-20,2.754262375541701e-18,
second_order_coherence,continue-create,mannwhitneyu,113047.0,4.94252073756994e-20,3.558614931050357e-18,
first_order_coherence,continue-create,mannwhitneyu,113003.0,5.583796521451922e-20,4.0203334954453836e-18,
n_tokens,human-continue,mannwhitneyu,52164.5,1.391535844941383e-19,1.0019058083577958e-17,
n_sentences,human-continue,mannwhitneyu,52206.0,1.507618617995553e-19,1.0854854049567983e-17,
pos_prop_AUX,human-explain,mannwhitneyu,52542.5,3.899075365873806e-19,2.8073342634291405e-17,
shannon_entropy,human-continue,mannwhitneyu,112231.0,4.617075112204005e-19,3.3242940807868835e-17,
duplicate_ngram_chr_fraction_6,continue-explain,mannwhitneyu,52859.5,7.402136735401546e-19,5.329538449489113e-17,
token_length_mean,human-create,t-test,-9.032399810725266,1.2087890664069924e-18,8.703281278130345e-17,
yules_k,human-explain,mannwhitneyu,168526.0,2.9575998071697144e-18,2.1294718611621945e-16,
token_length_median,human-explain,mannwhitneyu,57524.0,5.225298113952355e-18,3.7622146420456957e-16,
pos_prop_NOUN,human-explain,mannwhitneyu,53897.5,1.4098312877847227e-17,1.0150785272050003e-15,
yules_k,continue-create,mannwhitneyu,88770.0,3.118347970647927e-17,2.2452105388665074e-15,
syllables_per_token_median,human-continue,mannwhitneyu,66156.0,4.3375068375934284e-17,3.1230049230672683e-15,
duplicate_ngram_chr_fraction_7,explain-create,mannwhitneyu,109943.0,4.993085601276387e-17,3.595021632918999e-15,
sentence_length_mean,explain-create,t-test,8.550017878624516,6.09165942855254e-17,4.385994788557828e-15,
pos_prop_SCONJ,continue-explain,t-test,-8.544239896333782,6.377798113873037e-17,4.592014641988587e-15,
oov_ratio,human-create,mannwhitneyu,110339.0,6.547415863250885e-17,4.714139421540637e-15,
coleman_liau_index,human-create,t-test,-8.504196515848129,8.76048851400664e-17,6.307551730084781e-15,
duplicate_ngram_chr_fraction_7,continue-explain,mannwhitneyu,55039.0,9.763519057787256e-17,7.0297337216068245e-15,
dependency_distance_mean,human-create,mannwhitneyu,109779.0,2.6704115838546287e-16,1.9226963403753326e-14,
pos_prop_ADP,explain-create,mannwhitneyu,109707.5,3.188998775307033e-16,2.2960791182210638e-14,
dependency_distance_mean,human-continue,t-test,8.297385712756315,4.4272424634437453e-16,3.187614573679497e-14,
duplicate_ngram_chr_fraction_10,human-explain,mannwhitneyu,59936.0,6.822118814150435e-16,4.911925546188313e-14,
prop_adjacent_dependency_relation_std,human-explain,mannwhitneyu,109381.0,7.131152083300119e-16,5.134429499976086e-14,
prop_adjacent_dependency_relation_mean,human-create,t-test,-8.232262549746565,7.324322023291184e-16,5.2735118567696524e-14,
duplicate_ngram_chr_fraction_6,human-create,mannwhitneyu,56710.0,9.298794454712526e-16,6.695132007393019e-14,
connectives,continue-create,mannwhitneyu,109062.0,1.454851372912782e-15,1.0474929884972031e-13,
prop_adjacent_dependency_relation_mean,explain-create,mannwhitneyu,109010.0,1.759272011802297e-15,1.266675848497654e-13,
pos_prop_NOUN,human-continue,mannwhitneyu,55932.0,2.272015689754832e-15,1.635851296623479e-13,
syllables_per_token_median,human-explain,mannwhitneyu,67227.0,1.4096158211424445e-14,1.01492339122256e-12,
n_unique_tokens,continue-explain,mannwhitneyu,108100.0,1.5272857854160363e-14,1.0996457654995462e-12,
oov_ratio,continue-explain,mannwhitneyu,56911.5,2.30404013776507e-14,1.6589088991908504e-12,
duplicate_ngram_chr_fraction_7,human-continue,mannwhitneyu,59715.5,1.694166518619814e-13,1.219799893406266e-11,
per_word_perplexity,human-continue,mannwhitneyu,57841.0,1.9197868983021633e-13,1.3822465667775575e-11,
perplexity,human-continue,mannwhitneyu,57849.0,1.9544940139620156e-13,1.4072356900526512e-11,
entropy,human-continue,mannwhitneyu,57849.0,1.9544940139620156e-13,1.4072356900526512e-11,
n_tokens,human-create,mannwhitneyu,58036.0,2.965453143567686e-13,2.135126263368734e-11,
duplicate_ngram_chr_fraction_8,explain-create,mannwhitneyu,104958.0,1.2707339882159754e-12,9.149284715155022e-11,
connectives_cap,human-continue,mannwhitneyu,58941.5,1.6178225351835028e-12,1.164832225332122e-10,
duplicate_ngram_chr_fraction_8,continue-explain,mannwhitneyu,60058.5,2.509315928272623e-12,1.8067074683562885e-10,
rix,continue-explain,t-test,-7.031344535170718,4.349526885395717e-12,3.1316593574849165e-10,
top_ngram_chr_fraction_4,human-explain,mannwhitneyu,59994.5,5.242085193621128e-12,3.774301339407212e-10,
simpson_diversity,human-create,t-test,-6.980534325247649,6.124341296964147e-12,4.409525733814186e-10,
prop_adjacent_dependency_relation_mean,continue-explain,mannwhitneyu,59538.0,7.57017101026565e-12,5.450523127391269e-10,
token_length_mean,human-continue,mannwhitneyu,59686.5,1.0316276023239623e-11,7.427718736732528e-10,
sentence_length_std,continue-explain,mannwhitneyu,59978.0,1.8833606450388746e-11,1.3560196644279898e-09,
shannon_entropy,human-create,mannwhitneyu,104382.0,4.952427316070886e-11,3.565747667571038e-09,
type_token_ratio,continue-create,mannwhitneyu,97520.5,5.38653122545829e-11,3.8783024823299685e-09,
connectives,human-explain,mannwhitneyu,60575.5,6.12978268989125e-11,4.4134435367217e-09,
per_word_perplexity,human-explain,mannwhitneyu,60765.0,9.215572763386442e-11,6.635212389638239e-09,
doc_length,human-continue,mannwhitneyu,60815.0,1.0172856509606038e-10,7.324456686916348e-09,
perplexity,human-explain,mannwhitneyu,60918.0,1.2469408055554863e-10,8.977973799999501e-09,
prop_adjacent_dependency_relation_std,explain-create,mannwhitneyu,60954.0,1.3384926337789953e-10,9.637146963208766e-09,
lix,human-create,t-test,-6.487264435714031,1.520299127943255e-10,1.0946153721191436e-08,
duplicate_ngram_chr_fraction_7,human-create,mannwhitneyu,63170.5,2.2957151087158958e-10,1.652914878275445e-08,
n_sentences,human-create,mannwhitneyu,61289.0,2.530109186065996e-10,1.821678613967517e-08,
connectives_cap,continue-explain,mannwhitneyu,103276.0,3.3882050896413006e-10,2.4395076645417366e-08,
pos_prop_ADV,human-create,mannwhitneyu,103312.5,4.0440736957591574e-10,2.9117330609465932e-08,
syllables_per_token_mean,human-create,mannwhitneyu,61558.5,4.3244610423636434e-10,3.113611950501823e-08,
proportion_unique_tokens,continue-create,t-test,-6.315903065376435,4.42543415646289e-10,3.186312592653281e-08,
n_stop_words,continue-create,mannwhitneyu,102935.0,8.279343276831975e-10,5.961127159319022e-08,
yules_k,human-continue,mannwhitneyu,156506.0,8.921780459523949e-10,6.423681930857244e-08,
top_ngram_chr_fraction_3,human-continue,mannwhitneyu,62117.5,1.2072007237779159e-09,8.691845211200994e-08,
coleman_liau_index,human-continue,mannwhitneyu,62103.0,1.2100498660739107e-09,8.712359035732156e-08,
duplicate_ngram_chr_fraction_9,explain-create,mannwhitneyu,100489.5,1.5246181933323267e-09,1.0977250991992752e-07,
token_length_mean,human-explain,t-test,-6.097086878159509,1.6706721746503452e-09,1.2028839657482486e-07,
n_sentences,explain-create,mannwhitneyu,62567.0,2.763939106510262e-09,1.9900361566873887e-07,
sentence_length_median,explain-create,mannwhitneyu,102135.0,2.8826963684225018e-09,2.0755413852642013e-07,
