persona,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,entropy,perplexity,per_word_perplexity,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,pos_prop_DET,pos_prop_PROPN,pos_prop_ADJ,pos_prop_NOUN,pos_prop_AUX,pos_prop_ADV,pos_prop_VERB,pos_prop_ADP,pos_prop_PUNCT,pos_prop_X,pos_prop_PRON,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_SYM,pos_prop_INTJ,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,connectives,connectives_cap,pos_prop_SPACE,file
human,0.700290596014575,0.7374199570880996,5.20373831775701,4.0,3.06770714809541,26.75,29.5,13.956629249213435,1.5962616822429907,1.0,0.9828363716263062,535,270,0.5046728971962616,2877,20,16.73808420838995,18589067.71056824,29647.635902022714,True,240.0,0.8405103668261563,4.588516746411483,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01880141010575793,0.0,0.0,0.0,0.0,0.0,0.011750881316098707,0.00881316098707403,0.006169212690951821,0.02711323763955343,0.11004784688995216,0.03508771929824561,0.12280701754385964,0.21212121212121213,0.0430622009569378,0.02073365231259968,0.09569377990430622,0.10047846889952153,0.1339712918660287,0.01594896331738437,0.02711323763955343,0.03987240829346093,0.007974481658692184,0.012759170653907496,0.019138755980861243,0.001594896331738437,0.001594896331738437,3.070555949850955,1.164604863639701,0.446578789799769,0.059629465352310035,44.640011682243,13.678387850467292,13.968273953766033,16.083177570093458,16.454607476635516,13.691439252336451,57.030373831775705,8.1,5,0,,6
continue,0.8444398939609528,0.8369798398017884,5.785365853658536,5.0,3.045366543862381,22.77777777777778,21.0,9.82564043085962,1.726829268292683,1.0,1.0328800346471199,615,302,0.49105691056910566,3631,27,16.06515415165004,9484354.949919103,13785.399636510323,True,257.0,0.877906976744186,5.277616279069767,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0071174377224199285,0.013523131672597865,0.019217081850533807,0.030523255813953487,0.06540697674418605,0.02180232558139535,0.125,0.24709302325581395,0.03197674418604651,0.04215116279069767,0.10755813953488372,0.12354651162790697,0.1002906976744186,,0.04505813953488372,0.04215116279069767,0.014534883720930232,0.007267441860465116,0.00436046511627907,0.005813953488372093,,2.8816154693937865,0.48699622984285373,0.4743038061953848,0.06583398208119558,37.62579945799462,13.669918699186997,14.607366468030403,16.200542005420058,17.20796205962059,16.918439024390242,62.452574525745256,9.037037037037036,18,4,0.015988372093023256,6
create,0.8440789997577667,0.8222659551783612,5.944656488549619,5.0,3.286391974528321,24.952380952380953,24.0,13.513577618282714,1.8129770992366412,1.0,1.1271051175646574,524,261,0.49809160305343514,3172,21,13.299210128716881,596724.0923722066,1027.0638422929546,True,207.0,0.8777969018932874,5.459552495697074,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06559608056614044,0.04137180185084377,0.0,0.0,0.0,0.0,0.03592814371257485,0.014153511159499184,0.018780620577027764,0.020654044750430294,0.0757314974182444,0.043029259896729774,0.1153184165232358,0.23752151462994836,0.025817555938037865,0.029259896729776247,0.12564543889845095,0.12392426850258176,0.0981067125645439,0.0017211703958691911,0.043029259896729774,0.024096385542168676,0.022375215146299483,0.012048192771084338,0.010327022375215147,,,2.6666037337679267,0.6954170188350512,0.47695223723115904,0.045744735259784286,28.130470737913527,15.53455834242094,16.144230809945782,18.30156306797528,19.04552253725918,17.96832061068702,66.93711377680843,10.476190476190476,19,4,0.012048192771084338,6
explain,0.8405378769945215,0.8388089686632156,5.617741935483871,5.0,3.1372899849283518,22.142857142857142,21.5,8.05656026262487,1.7145161290322581,1.0,0.9922842292787577,620,294,0.47419354838709676,3579,28,19.355035940995997,254557153.6385715,356522.62414365757,True,260.0,0.8627450980392157,5.012605042016807,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060577152396851894,0.05008347245409015,0.03243501073217267,0.03243501073217267,0.03243501073217267,0.03243501073217267,0.022895301693298356,0.02861912711662294,0.023849272597185785,0.0196078431372549,0.11204481792717087,0.0392156862745098,0.09943977591036414,0.25210084033613445,0.023809523809523808,0.02100840336134454,0.10224089635854341,0.12745098039215685,0.12885154061624648,,0.022408963585434174,0.03081232492997199,0.00980392156862745,0.018207282913165267,0.012605042016806723,,,2.6981571091145358,0.6542115453363225,0.49699997148682307,0.07977306646414357,39.311935483871,13.277004608294934,14.452119694410143,15.953917050691246,16.100993087557605,15.895548387096778,57.94930875576037,7.928571428571429,13,2,,6
human,0.8545887503359053,0.8468345859471489,5.420529801324503,5.0,3.0063909383640453,31.789473684210527,27.0,13.391194857927792,1.5844370860927153,1.0,0.8790174645565824,604,267,0.4420529801324503,3372,19,19.176881214873276,213016719.28165957,303442.6200593441,True,273.0,0.8518518518518519,4.803418803418803,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00910010111223458,0.007583417593528817,0.007583417593528817,0.008547008547008548,0.08974358974358974,0.07692307692307693,0.07692307692307693,0.21652421652421652,0.03561253561253561,0.03133903133903134,0.09971509971509972,0.12962962962962962,0.12108262108262108,0.011396011396011397,0.03418803418803419,0.03133903133903134,0.014245014245014245,0.011396011396011397,0.014245014245014245,0.004273504273504274,,3.5788664114325353,1.1505953760315033,0.4532906056965569,0.06238989267693928,40.525306727082636,15.504252352736149,15.631368783578527,18.742279539909376,19.995432206343672,15.141589403973509,68.21331474381317,11.578947368421053,19,3,0.0014245014245014246,7
continue,0.8483299458468402,0.8318871947435232,5.7853881278538815,5.0,3.122740212106922,23.464285714285715,22.5,6.372273326446283,1.7229832572298325,1.0,0.9663934055712258,657,311,0.4733637747336377,3876,28,17.64472791594584,46026501.85994642,62877.73478134757,True,264.0,0.8797814207650273,5.295081967213115,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04579813250333482,0.0329035126722988,0.0,0.0,0.0,0.0,0.006002667852378835,0.01133837261004891,0.017341040462427744,0.01366120218579235,0.06693989071038252,0.031420765027322405,0.09289617486338798,0.2814207650273224,0.03415300546448088,0.02185792349726776,0.12021857923497267,0.1284153005464481,0.09562841530054644,,0.04371584699453552,0.030054644808743168,0.015027322404371584,0.015027322404371584,0.00546448087431694,0.004098360655737705,,2.6467780697869805,0.3866359702600698,0.4934479557726642,0.05445242361646424,37.254366438356186,13.892273863883457,15.626461121452799,17.54400956729724,17.551320939334637,16.9565905631659,64.7123831267667,9.678571428571429,17,4,0.01366120218579235,7
create,0.8213426571871553,0.8062400188710954,6.430594900849858,6.0,3.3672937726719683,24.344827586206897,23.0,7.47536580615228,1.934844192634561,2.0,1.100478155708457,706,319,0.4518413597733711,4621,29,16.770175552400037,19195291.11325122,24390.458847841448,True,249.0,0.8919949174078781,5.8716645489199495,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09164623797850273,0.07429756741467095,0.050537431642466525,0.050537431642466525,0.030548745992834244,0.030548745992834244,0.010560060343201961,0.022628700735432775,0.03564020365830662,0.0,0.07496823379923762,0.04701397712833545,0.11054637865311309,0.29860228716645487,0.005082592121982211,0.022871664548919948,0.12325285895806862,0.13468869123252858,0.0940279542566709,0.0025412960609911056,0.026683608640406607,0.030495552731893267,0.010165184243964422,0.011435832274459974,0.0038119440914866584,0.0038119440914866584,,2.6137412047183237,0.5780364600968143,0.5061929801395991,0.06222848872813495,18.437181303116148,16.73564423170851,17.557952739539285,20.21951743674905,21.030515776106277,20.79603399433427,74.06154146722673,12.10344827586207,13,3,,7
explain,0.8546016395092011,0.8313580469081276,5.661567877629063,5.0,3.05497666711175,24.904761904761905,25.0,5.107461972492161,1.6290630975143403,1.0,0.8961765405388622,523,258,0.4933078393881453,3027,21,14.597231129334457,2185228.875053745,3722.7067718121725,True,216.0,0.879045996592845,5.156729131175468,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03520726859738785,0.022146507666098807,0.022146507666098807,0.0,0.0,0.0,0.0068143100511073255,0.005110732538330494,0.0,0.013628620102214651,0.07325383304940375,0.06643952299829642,0.07155025553662692,0.24361158432708688,0.034071550255536626,0.034071550255536626,0.12947189097103917,0.12776831345826234,0.09880749574105621,,0.022146507666098807,0.030664395229982964,0.020442930153321975,0.020442930153321975,0.008517887563884156,0.005110732538330494,,2.946064653554914,0.5968379754105524,0.4859823885840392,0.09247856585085894,43.737928616953496,13.345801693526358,14.689810185797409,16.539342620413368,17.688365656013836,16.3014913957935,64.29290722024948,9.80952380952381,19,3,0.013628620102214651,7
human,0.596628478344749,0.6151761305518448,5.402489626556017,5.0,3.410356758587985,26.77777777777778,26.0,18.32289264995373,1.5767634854771784,1.0,0.8662167359774554,482,240,0.4979253112033195,2725,18,16.968688194304,23410336.049143955,38823.11119261021,True,207.0,0.7827529021558872,4.519071310116086,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008442776735459663,0.0,0.0,0.0,0.0,0.0,0.008755472170106316,0.010944340212632896,0.009380863039399626,0.04311774461028192,0.0845771144278607,0.13266998341625208,0.0978441127694859,0.15091210613598674,0.024875621890547265,0.04311774461028192,0.05140961857379768,0.12769485903814262,0.17744610281923714,0.01990049751243781,0.01658374792703151,0.03814262023217247,0.008291873963515755,0.004975124378109453,0.01824212271973466,0.001658374792703151,,3.697698867987426,1.5085125480709982,0.436391834149114,0.05526706292516324,46.261364684186276,13.459142461964039,14.867677710551934,17.018165053019825,17.40461502996773,14.861244813278006,60.387736284001846,9.0,15,2,0.001658374792703151,5
continue,0.8271010292542947,0.8122510678238339,5.927272727272728,5.0,3.555118364830839,20.263157894736842,18.5,6.9383913292799475,1.7428571428571429,1.0,0.9863258031611295,770,300,0.38961038961038963,4668,38,23.289149860080876,13012156333.917095,14922197.630638871,True,325.0,0.8692660550458715,5.353211009174312,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278682457438934,0.08031088082901554,0.0692079940784604,0.03904515173945226,0.020355292376017766,0.0,0.007216876387860844,0.0044411547002220575,0.008142116950407105,0.040137614678899085,0.06536697247706422,0.05619266055045872,0.1158256880733945,0.22362385321100917,0.02522935779816514,0.033256880733944956,0.09977064220183486,0.12614678899082568,0.11238532110091744,0.0022935779816513763,0.0481651376146789,0.04243119266055046,0.013761467889908258,0.016055045871559634,0.0022935779816513763,,0.0011467889908256881,2.841446186934612,0.7152347811410278,0.47299295841204775,0.05173754413135102,38.82218045112785,12.878345864661654,14.365101922860564,15.741626794258375,16.61903349282297,17.59158441558441,63.639781271360214,8.789473684210526,17,4,0.016055045871559634,5
