,human,continue,create,explain
pos_prop_DET,0.1248303934871099,0.14511041009463724,0.1392081736909323,0.15514993481095177
pos_prop_NOUN,0.24016282225237448,0.23817034700315456,0.23627075351213284,0.26597131681877445
pos_prop_AUX,0.031207598371777476,0.0694006309148265,0.06641123882503193,0.02998696219035202
pos_prop_ADP,0.08276797829036635,0.07413249211356467,0.08939974457215837,0.09908735332464146
pos_prop_CCONJ,0.06105834464043419,0.04416403785488959,0.04086845466155811,0.05345501955671447
pos_prop_PUNCT,0.13975576662143827,0.09936908517350158,0.11877394636015326,0.10039113428943937
pos_prop_PROPN,0.04477611940298507,0.0031545741324921135,0.0038314176245210726,0.01303780964797914
pos_prop_ADJ,0.08005427408412483,0.07097791798107256,0.07407407407407407,0.07692307692307693
pos_prop_ADV,0.04341926729986431,0.06309148264984227,0.05236270753512133,0.04302477183833116
pos_prop_PART,0.012211668928086838,0.015772870662460567,0.022988505747126436,0.01564537157757497
pos_prop_VERB,0.07055630936227951,0.08832807570977919,0.09323116219667944,0.08735332464146023
pos_prop_PRON,0.023066485753052916,0.02365930599369085,0.020434227330779056,0.02216427640156454
pos_prop_NUM,0.016282225237449117,0.0031545741324921135,0.002554278416347382,0.009126466753585397
pos_prop_SPACE,0.017639077340569877,0.025236593059936908,,
pos_prop_SCONJ,0.004070556309362279,0.033123028391167195,0.02937420178799489,0.024771838331160364
pos_prop_X,0.008141112618724558,0.0031545741324921135,0.010217113665389528,0.003911342894393742
passed_quality_check,True,True,True,True
n_stop_words,267.0,278.0,347.0,331.0
alpha_ratio,0.8154681139755766,0.8659305993690851,0.8786717752234994,0.8970013037809648
mean_word_length,6.233378561736771,6.457413249211356,6.550446998722861,6.681877444589309
doc_length,737.0,634.0,783.0,767.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.005008668849932576,0.026338514680483593,0.041953232462173314,0.025636613902271163
duplicate_ngram_chr_fraction_6,0.003467539973030245,0.0,0.018225584594222834,0.012044046799724708
duplicate_ngram_chr_fraction_7,0.0,0.0,0.018225584594222834,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.006164515507609324,0.007772020725388601,0.006189821182943604,0.012388162422573986
top_ngram_chr_fraction_3,0.0077056443845116545,0.015112262521588947,0.008940852819807428,0.006882312456985547
top_ngram_chr_fraction_4,0.004623386630706993,0.016191709844559584,0.01702200825309491,0.010839642119752236
oov_ratio,0.04206241519674356,0.04889589905362776,0.022988505747126436,0.03259452411994785
first_order_coherence,0.5527339258364269,0.5533906601820932,0.6863975315480619,0.6913385627325624
second_order_coherence,0.5609186433858293,0.5462605967186391,0.6925809213684665,0.7115141398766461
entropy,11.852172584596543,10.002091549346595,12.799525633282398,13.184614874401198
perplexity,140389.02311791113,22072.58344680799,362045.6664559447,532114.9808567693
per_word_perplexity,190.4871412726067,34.81480038928705,462.38271578026144,693.7613831248622
dependency_distance_mean,3.060124177146961,2.804809080080443,3.139237054213757,3.2995573462025103
dependency_distance_std,1.3889980928489138,1.0233752099409141,0.7293729586041691,0.8838837952250044
prop_adjacent_dependency_relation_mean,0.46560226701174007,0.4770732758846213,0.48092479440898117,0.4901974542042502
prop_adjacent_dependency_relation_std,0.07587058846658805,0.11970845439925211,0.06736948786786842,0.06881014262838989
flesch_reading_ease,12.696647509578526,22.298319327731093,13.727822989371276,12.928691969687321
flesch_kincaid_grade,20.104993333333336,18.750691434468525,20.527469635627536,20.803550724637685
smog,17.84858569640484,17.22492989022348,18.014585035323577,18.83193753551143
gunning_fog,22.240444444444446,21.232198142414862,22.230860896799328,23.434782608695656
automated_readability_index,21.026907555555553,20.252879256965947,22.055020242914978,22.611420289855076
coleman_liau_index,24.661695999999996,24.007017543859643,25.536719883889685,25.673391304347827
lix,60.24111111111111,58.343653250774,62.253494767397456,63.94927536231884
rix,7.444444444444445,6.970588235294118,8.0,8.583333333333334
token_length_mean,7.1712,7.0701754385964914,7.3076923076923075,7.315942028985507
token_length_median,5.0,6.0,6.0,6.0
token_length_std,5.2767689507879725,4.962171458470211,5.166708383134849,5.217740729039719
sentence_length_mean,17.36111111111111,16.764705882352942,18.13157894736842,19.166666666666668
sentence_length_median,15.0,18.0,18.0,20.5
sentence_length_std,11.060823702946104,7.507090074328604,6.130901250102154,6.313565641625271
syllables_per_token_mean,2.4512,2.356140350877193,2.4615384615384617,2.4507246376811596
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.7909825683127125,1.5865130631671067,1.7195329509129584,1.77373128272183
n_tokens,625,570,689,690
n_unique_tokens,357,276,312,343
proportion_unique_tokens,0.5712,0.4842105263157895,0.4528301886792453,0.4971014492753623
n_characters,4594,4094,5129,5125
n_sentences,36,34,38,36
connectives,10,15,24,15
connectives_cap,4,5,6,3
