connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
doch,1,3,2,4,2,2,3,6
dabei,9,22,13,26,7,18,5,12
dadurch,7,8,1,2,0,3,0,1
da,2,8,0,6,1,5,2,3
außerdem,0,3,,,,,,
wie,0,36,3,39,2,51,3,39
darüber hinaus,4,4,3,4,11,11,,
während,1,8,1,5,4,5,1,2
zusätzlich,1,1,0,1,2,2,0,1
darum,0,2,0,1,,,,
sondern,0,16,0,25,0,19,0,14
statt,0,1,0,1,,,0,2
indem,2,9,15,21,13,16,0,3
zudem,1,2,3,4,2,4,3,4
somit,1,8,0,15,0,9,0,1
also,0,5,0,5,0,7,0,11
darauf,0,30,0,9,0,13,0,4
obwohl,5,9,1,1,2,2,0,2
so,1,6,0,7,1,3,5,14
seit,0,1,0,1,0,2,0,6
als,1,64,0,66,0,55,1,90
weiterhin,2,5,0,2,0,2,,
zu dem beispiel,0,1,,,1,3,0,1
wenn,2,3,1,4,1,2,2,12
trotz,1,2,1,1,1,1,0,2
zwar,0,3,0,2,0,1,1,4
ansonsten,0,1,,,,,0,1
vielmehr,1,3,2,2,2,4,1,6
zunächst,1,4,0,3,1,5,1,2
zugleich,0,1,0,3,,,0,6
des weiteren,4,4,1,1,1,1,,
dafür,0,3,1,6,0,1,1,2
aber,0,3,0,2,0,2,0,18
ob,0,5,0,5,0,5,0,5
deshalb,1,1,,,,,0,1
daher,0,6,1,4,0,6,1,5
dennoch,2,3,2,4,3,3,,
ebenfalls,0,2,0,6,0,3,0,2
beispielsweise,1,1,0,4,0,3,0,1
warum,0,4,0,1,1,1,0,3
später,0,4,1,1,,,0,4
allerdings,2,2,4,5,2,2,2,6
aufgrund,0,2,1,2,1,2,,
dann,0,1,0,2,,,0,4
nämlich,0,1,,,0,1,0,4
sodass,0,1,,,0,1,0,2
allein,0,2,0,1,0,1,0,3
danach,0,1,0,1,0,2,,
andererseits,,,2,2,,,0,2
bevor,,,0,1,,,,
inwieweit,,,0,1,0,2,,
weder,,,0,3,0,2,0,2
denn,,,3,3,1,1,1,3
wegen,,,,,0,2,,
hingegen,,,,,0,1,0,2
weshalb,,,,,0,1,,
anstatt,,,,,2,2,,
entgegen,,,,,,,0,1
insofern,,,,,,,1,3
zuvor,,,,,,,0,3
weil,,,,,,,0,1
hierauf,,,,,,,0,1
inzwischen,,,,,,,1,1
dessen ungeachtet,,,,,,,1,1
wenn auch,,,,,,,0,1
inwiefern,,,,,,,0,1
gleichwohl,,,,,,,0,1
