human,continue,explain,create
2673,3896,3957,3296
4019,3452,4937,5063
3073,3336,4377,3822
2945,3500,3384,3715
2946,3260,3962,4000
2119,4004,3694,3505
3127,3126,3651,3362
2763,3244,3124,3335
3051,3242,3155,3570
2791,4338,4927,3473
2816,4226,3291,4431
2216,3225,3274,3391
2577,3417,3407,3501
3545,3935,4282,3948
3271,3671,3475,4121
2456,3714,3925,3359
2464,4919,4662,4669
2704,3284,3357,3247
2333,3553,3650,3603
3769,4638,4193,3580
2480,3945,4276,3645
3294,4320,3998,3204
3090,3527,3059,2978
2887,4056,3218,4157
3198,4090,3583,3632
2711,3258,3669,4055
2627,3255,3625,3912
2947,4781,4648,3563
2952,3682,3301,3447
3538,3548,3649,3837
3183,3580,3737,3520
3472,3074,3821,3317
3443,3916,3928,4028
3323,3277,3299,3392
2582,3307,3399,3416
2582,3770,3743,3136
3070,3481,3089,3984
3410,3553,4256,3412
4447,4712,4207,3989
2708,4526,3504,4530
2455,4134,4120,4221
3231,3836,3466,3535
2942,3023,3421,3387
2892,4412,3597,4559
4932,4952,3470,5188
2963,3118,3190,3412
2635,4817,4936,3698
2522,3091,3062,3289
2430,5077,4454,5273
2770,4011,4043,3771
3801,4794,3266,4842
3178,3179,3469,3907
3273,3171,3863,3772
3140,3526,4438,4694
3388,5055,4482,4813
2496,3961,3981,3384
3272,4290,3907,4251
3285,3712,3883,4001
2784,3646,3164,3319
2136,3991,4024,3984
2210,3110,3155,3184
3770,3260,4155,4520
2641,3464,3697,3387
4151,3234,4266,3520
4087,3351,4030,4112
3608,3537,3585,4173
2316,3252,3372,3338
2483,4108,4274,3883
2742,3211,3108,3821
2333,3914,3795,3958
2795,3896,4595,3384
4320,3573,4788,4969
2603,3625,3615,3717
2326,3678,3346,3151
2726,3664,3295,3707
2888,3202,3130,3462
2396,3823,3192,3564
2171,3466,3436,3767
2982,3289,3412,3365
2605,3598,4135,4514
3294,4526,4210,3639
2273,3108,2818,3011
3125,4083,3497,3477
3017,3350,3438,3363
2678,3759,3606,3430
3101,3293,3980,3992
2324,3351,3347,3438
3264,3815,3768,3609
3549,3769,3502,3406
3007,3629,3316,3526
3502,3316,3294,4400
2621,4375,3652,4911
2681,3981,3651,3583
3586,4036,3615,3497
2639,4019,4346,3347
2425,3087,3395,2965
2671,3525,4132,4449
2783,3509,4018,3460
2408,3748,3608,3532
2999,3859,4267,4159
