human,continue,explain,create
159632.39006311807,8127698.384920374,13970216.25412232,223013.70908180965
2804996695.2619295,1891889.2720000874,1079336257.0545561,384131320.1645135
198454985.4344207,82914225.17556031,571238223.6551956,345963.09568734624
265981659.2570912,857523.9207444749,16175323.263437357,138744.05661719284
31014573.693720397,406158.6722478721,4377167.24759221,35071879.25194424
1101080.2250869425,36860814.2577613,5241012.792533011,654547.1832466465
45832809.06118917,2208343.669971612,4980616.969354021,384673.45347026933
3417281.5358297317,1549739.7775250014,3280309.950365668,364706.25437352556
4950427.080556698,664195.3027530577,3746627.803810967,401696.9607305533
690692.9597356885,56451203.851166785,29125208.32582797,163812.93240244742
24240126.024150815,126645536.07035524,31466995.301032472,67113.83610450376
140651.95392410038,917585.865934735,2368437.3769885637,363542.1119933838
660791.6439317527,3285654.8409513,2373100.1745545287,272435.3997527824
150358171.91984257,6196460.648232897,444572237.29642713,718268.8571916032
2389094.8401857456,7814066.9543795055,1121980.375953935,11350487.555718524
1227741.9895067152,12954796.596039962,5278115.139633217,488010.90647770267
375150.3417831688,382371672.75064266,1116673239.745307,308687081.9443995
1850514.6909964907,507683.83857587236,469778.4386286493,671547.3338300639
250433.92266191024,12515174.592761343,27503504.668191645,527388.0166289906
316171430.60407585,219096613.55212057,296174471.126826,1185889.8571089155
6478814.893126613,2112327.406646043,134403392.84580487,1407207.3213129016
141648377.74449682,22984633.31342623,45573937.398363784,306376.981905731
17544173.20156163,2620986.1270789583,2690713.067307695,266318.50585701526
5068426.899045684,239952840.265222,1462071.469102594,66222854.202799894
67041049.52292157,7339083.461670009,27982378.09382582,1328073.9534028906
12243428.109805614,2928515.0445043403,39702814.18088602,7555950.416912759
631461.0614211685,2043479.0908571044,887080.256845323,4919032.232774562
19551646.736372627,564239.8340824615,205285643.48825276,1553174.4243370632
45140251.648423,14140493.544288106,3014403.406347394,560859.8186160251
262863231.6989784,4334802.6094964575,1949239.4698353866,794944.4565617909
2979064.3475825787,683742.3541821673,763995.3834157159,637946.1327388076
102719885.73176877,528666.245861799,20157322.489990436,498829.70943404257
191722274.84649682,86424747.09106767,58656917.75365023,1886091.2372825982
108120386.66996159,332948.6754896071,5324222.348141894,700640.0386591908
604654.9686597792,1439539.7103377038,3081320.1134700635,10087686.632837685
1393202.238605729,3905116.110235913,7089874.606246437,1251379.6931296475
910715.2331296774,1679338.143977276,4517597.27968605,8357207.099424437
1247384757.0915592,1534458.6166106004,518456350.157469,389818.1312069666
35121088955.73732,1262095773.4712865,314950135.6535903,22658.139859062976
14910373.952474345,335515139.18645144,836299.6326310147,73320420.30963239
505551.7447210564,386778.28564398567,28037498.977288194,9153904.867780084
10719006372.44057,91494912.64459984,2379416.9300192916,661157.6095542125
44177972.60110266,1212954.9163064128,5296794.533064827,1380154.6267046619
3186447.981151384,551664195.0099512,6408421.964451225,39892058.56420769
31674718233.12596,2035013004.7689223,1048386.2060607508,61699118.79315052
8130444.837152853,2382319.852139716,2087997.0871332893,284325.332089914
5166978.4095560955,309844339.58812493,2994451783.273627,744089.4604813919
324380.1115232126,2446285.400458563,10692734.370283607,235124.1791468469
351693.1430227471,282894192.4570338,6405259322.667852,180676767.6444604
3957899.316726209,53679071.31788996,133751988.35095185,5269165.538598248
951319270.6052378,784174509.4944514,4614794.920700645,596565288.170935
330280227.4205135,7933048.702130813,9765526.637178296,1053019.8899168065
33114711.68270146,502031.02016355295,6244808.113058663,686020.0171589638
30562986.843607582,3416097.2193681416,268693692.4479695,36690867.98669101
78025401.7256184,2652567.8841563873,2432739246.241538,86612070.6374885
519134.47393959376,12087980.4003616,6327836.610434996,290532.4849151122
4751785.036040726,9186032.541466609,42847069.70288993,5589297.938652365
220923974.24872696,1976457.2766912337,39652809.526535995,6160918.235737608
17848824.873758044,32110868.206676632,3855320.6466986327,889379.064693195
