human,continue,create,explain
3401.08,6382.94,4935.86,9159.93
4459.95,15638.43,8475.04,9583.1
3249.95,6911.31,10334.73,5953.53
3628.63,6616.07,8679.15,3939.71
3644.71,6332.08,4634.43,4838.33
1878.6,7725.78,20545.55,6050.0
4340.56,7154.06,7633.98,5864.55
4022.24,8587.84,5514.19,7873.0
2695.24,8070.31,10421.66,9110.37
4476.01,7156.17,4430.0,7050.1
2973.96,7191.55,4369.85,5145.56
4394.48,3696.81,9690.19,6684.46
5792.13,6976.76,10168.94,8599.59
3153.15,4596.76,5958.25,7357.43
3999.57,9634.97,7952.79,6474.63
1778.93,7979.5,4914.96,4088.61
2248.96,7056.34,8030.06,9945.02
3431.08,13443.62,5776.62,5789.19
2789.77,6175.89,5233.03,7325.78
2130.63,5236.91,8038.22,3538.04
7357.12,4051.85,4229.67,8339.39
4107.46,3953.21,6372.43,5924.78
3658.29,4663.62,5270.92,5706.03
3854.59,7872.72,5239.0,5968.86
1549.5,4855.38,10569.84,4630.67
4595.52,4026.49,7958.04,7506.69
2625.19,4606.01,12350.49,8088.1
3283.95,5550.06,8260.2,7744.17
3291.94,5445.15,5842.18,5395.98
4210.08,3719.86,9617.33,7940.3
3273.28,7309.06,10013.61,6130.62
3374.65,10103.78,8734.12,5481.46
2781.66,7129.11,7397.89,7839.13
4254.9,4086.85,5407.19,5356.34
4923.82,5160.29,11349.01,6002.77
1860.27,6674.76,10859.94,4081.22
4021.64,4483.97,7970.51,5882.45
3894.4,6214.66,10131.28,10031.57
5530.13,6655.82,10682.3,3691.01
1751.17,4703.59,6886.17,6582.79
2728.17,6711.37,7157.95,9284.93
2290.43,4626.96,7336.39,4358.11
6765.59,7020.19,5982.01,8541.81
3866.3,4933.08,23020.21,5072.36
2902.9,5283.07,5486.16,7276.44
3825.98,4369.32,9686.98,5316.9
2765.22,4416.24,9348.01,7118.7
2637.26,6074.05,6890.11,6038.74
5777.34,4675.27,9237.93,6879.03
2750.04,4620.24,4114.48,6221.17
2123.29,9550.57,11282.04,5875.7
2565.31,6449.62,6684.61,7617.24
2805.15,32129.29,10021.96,3857.85
3300.57,7668.5,7309.19,8017.2
4982.25,6890.62,10825.23,5946.18
3292.34,7017.8,9548.95,7032.25
3919.88,4327.0,8400.29,6329.94
3735.15,6638.99,5955.36,7897.21
6800.29,8892.31,10237.16,4408.47
924.33,6090.62,15418.52,6058.62
2861.83,4921.2,9087.94,7210.32
2854.1,6043.1,8669.98,5389.57
6771.19,4811.43,6258.62,7665.19
2235.58,5754.49,8411.4,9501.84
3651.03,9584.65,5847.94,6911.24
2595.18,4794.27,13244.45,7226.6
4195.69,5923.34,11010.33,6153.66
3313.57,5266.65,10719.13,7798.84
5039.95,2779.9,12022.72,6247.01
2040.91,4488.12,10846.04,7112.02
4196.02,5781.49,5720.45,6862.17
2367.99,4626.82,5806.38,6684.84
2699.15,3798.01,9164.86,4762.46
6832.93,7486.5,5910.99,7499.66
2131.89,5592.19,11871.08,6730.29
4494.5,4670.71,11967.49,6952.15
2226.04,7737.79,12146.2,5293.2
2420.26,6428.12,10467.07,2965.65
4375.59,7792.77,5276.9,3671.38
3359.62,5841.62,9731.66,7310.89
2199.69,4414.43,7546.14,6946.61
2535.52,4097.57,26415.25,4950.37
3661.51,7733.9,6172.11,3383.37
5816.35,9976.7,9095.3,9967.72
3563.03,7364.77,6732.62,5514.31
2854.73,4552.91,8943.99,5357.64
1040.63,4276.1,7611.19,6296.3
4327.23,8317.58,7944.29,8732.91
2199.69,4790.02,9450.86,6827.98
2526.52,5881.11,18632.0,4692.39
3488.71,4417.42,4389.75,6796.32
2997.37,5981.73,8466.85,8829.39
3608.91,5954.42,9484.62,6443.54
4206.62,6873.06,11266.88,4710.61
1597.93,9682.44,7029.71,5513.1
6870.88,7742.28,12981.61,7421.63
4616.73,4649.58,9533.95,5819.59
3415.86,5877.72,7200.58,7922.85
1161.27,8508.87,11548.21,6177.9
3859.66,9772.8,7675.37,5072.22
