human,continue,explain,create
355,352,320,349
260,325,299,326
399,353,350,354
269,336,316,329
374,380,348,405
376,403,319,348
297,346,359,342
332,332,341,360
342,341,328,342
258,356,311,355
330,360,322,383
296,370,366,362
278,376,345,378
407,356,326,394
347,347,312,352
368,319,358,416
277,307,289,326
341,331,341,337
287,332,295,332
264,349,303,350
353,357,302,380
281,323,305,337
287,350,307,335
282,335,334,367
356,361,345,386
270,346,355,367
293,331,338,343
261,350,324,339
259,316,345,327
362,320,307,366
291,363,346,374
303,359,317,354
372,359,322,345
362,350,324,330
310,342,339,342
359,301,355,360
439,325,318,378
251,323,322,334
339,326,346,343
365,312,326,358
245,338,275,336
258,338,313,362
261,334,322,361
335,319,345,379
281,357,310,363
321,353,303,336
290,329,336,343
341,350,320,345
345,356,351,359
299,334,327,350
266,329,351,346
315,353,321,384
308,362,361,361
304,395,345,390
407,349,365,373
306,349,282,350
410,349,323,345
300,313,319,311
205,335,297,326
432,333,332,351
264,360,314,342
330,376,297,350
278,334,345,345
361,338,343,374
268,349,331,367
444,337,340,388
332,359,341,385
413,362,335,381
228,314,301,325
361,343,343,363
308,306,285,346
304,338,317,357
288,306,324,306
276,326,291,351
355,378,324,392
463,410,312,437
262,345,325,361
326,357,301,362
278,313,311,331
319,351,349,327
434,388,279,374
292,352,317,352
264,354,341,392
269,330,316,349
297,362,335,352
359,340,325,357
256,342,294,386
303,351,338,345
342,315,304,332
343,366,340,369
293,321,334,344
265,349,317,359
313,350,346,352
322,358,340,352
481,346,321,372
284,363,339,354
330,378,357,386
499,331,381,378
327,347,365,382
351,333,336,380
345,363,367,384
417,367,353,403
380,318,317,356
391,379,316,368
241,325,286,361
428,386,361,404
