human,continue,explain,create
14,20,20,14
17,22,23,18
26,15,35,11
21,25,16,16
21,17,22,16
19,25,21,22
13,13,18,17
13,15,17,15
9,20,18,10
21,35,35,16
10,18,15,18
20,21,18,20
18,18,22,19
12,22,19,16
18,17,31,20
15,18,23,28
18,11,18,8
15,19,19,15
17,26,22,15
19,13,20,7
14,22,13,21
16,18,26,11
14,23,19,14
37,19,18,20
20,14,18,20
17,22,25,15
20,27,19,19
22,17,19,16
16,8,14,24
23,21,18,18
11,17,16,15
21,16,15,19
19,18,18,26
13,17,7,18
13,17,22,21
13,18,17,16
1,11,18,18
25,18,19,14
22,14,12,19
37,17,26,16
14,21,21,17
21,18,22,18
13,15,17,18
12,27,22,16
19,22,22,21
26,24,17,16
10,22,25,22
26,19,18,29
8,12,20,15
24,19,30,15
17,15,17,19
18,13,25,13
23,16,30,21
20,18,19,16
31,24,31,14
13,16,24,16
16,12,23,15
26,14,16,14
24,20,22,24
20,21,19,16
11,26,22,22
16,12,15,14
13,24,21,16
17,15,20,24
14,14,17,12
16,17,13,16
8,20,14,11
17,25,18,11
19,18,27,20
19,23,37,17
21,13,30,13
16,16,13,15
16,18,26,18
13,22,17,15
14,18,12,19
18,23,21,19
20,24,22,15
10,21,21,25
12,21,16,12
19,15,23,16
9,11,12,16
11,25,18,25
21,18,30,15
18,25,25,17
21,18,14,20
26,29,13,17
12,23,18,19
25,9,13,20
17,25,28,15
14,12,18,15
12,19,19,11
18,19,18,12
12,18,25,13
15,12,20,18
18,15,17,26
23,22,20,27
24,18,18,16
15,25,24,21
18,24,30,20
19,26,16,22
