human,continue,explain,create
505,618,621,615
490,630,640,635
689,702,573,698
553,615,536,610
480,638,634,634
733,730,700,714
463,607,578,612
569,647,654,643
762,748,556,699
674,639,569,663
543,628,519,631
443,593,554,593
520,659,661,658
751,729,718,730
491,568,561,565
564,654,602,651
501,619,580,619
425,588,574,590
437,602,612,599
619,617,546,567
565,632,573,648
578,643,597,644
644,681,689,698
420,557,548,553
549,608,553,612
629,642,553,642
466,585,580,583
453,585,559,590
593,594,595,568
683,649,673,649
694,588,659,680
552,630,622,621
486,616,614,612
662,654,632,650
574,711,671,691
526,630,623,627
481,663,659,651
524,606,556,610
460,585,529,577
602,611,573,614
604,643,563,645
716,629,638,702
489,658,660,658
477,596,569,591
696,669,693,614
574,616,540,614
638,651,625,650
681,624,553,679
443,644,642,641
630,632,587,567
695,635,628,683
587,636,580,632
670,665,530,654
530,667,635,661
447,617,604,626
444,582,510,582
472,575,575,541
521,596,510,586
498,612,589,615
671,664,564,667
530,615,557,610
482,636,576,635
515,635,577,635
508,593,596,594
497,651,651,655
523,624,567,632
704,696,595,693
540,612,580,612
458,604,606,607
677,670,567,666
560,603,577,605
693,681,545,685
854,835,550,724
430,501,538,532
564,604,535,608
738,728,534,732
417,615,617,612
615,643,567,642
558,624,621,627
428,617,564,621
693,649,639,682
467,607,596,605
426,582,582,576
526,647,644,632
662,642,617,658
409,598,508,603
737,515,565,667
897,737,613,785
439,641,642,642
480,595,516,600
474,606,540,604
565,613,613,616
528,607,565,597
454,589,568,591
676,611,549,598
423,589,594,592
478,616,556,617
738,716,734,658
509,601,538,599
548,664,678,672
