human,continue,explain,create
686,619,561,601
806,674,760,630
730,568,737,593
650,522,557,568
763,540,610,529
536,545,573,554
610,537,624,533
612,560,543,632
798,656,646,586
697,702,706,608
711,604,635,623
711,725,618,624
673,578,680,617
572,569,552,567
656,561,678,679
656,553,658,636
726,573,704,572
436,580,584,585
665,784,780,784
752,567,704,584
606,563,556,606
647,543,655,585
553,642,643,655
723,675,731,603
495,541,596,539
667,534,679,606
650,578,635,589
758,600,749,575
651,549,549,655
665,533,649,539
475,507,514,513
598,647,651,524
745,597,738,638
485,548,555,568
535,550,623,634
632,590,645,580
695,549,831,612
662,633,531,636
626,584,554,633
748,593,738,585
606,586,637,593
565,587,632,613
721,594,702,603
675,589,679,618
555,581,635,607
644,538,651,616
611,547,615,583
594,588,556,621
622,551,631,588
685,591,687,559
603,608,660,642
835,546,768,612
732,564,750,600
521,528,580,601
732,629,747,610
674,580,690,623
705,628,691,630
804,561,783,624
605,594,629,576
604,536,612,592
591,574,624,572
667,569,525,533
658,555,667,573
501,522,638,639
611,519,616,567
765,517,644,595
460,520,527,520
759,758,707,596
762,532,781,605
720,555,738,557
579,507,586,581
441,510,519,517
658,621,660,571
571,565,623,566
563,529,608,643
534,573,628,619
634,608,700,643
529,569,565,555
502,588,597,585
638,566,565,644
675,567,678,634
728,603,708,747
770,608,574,573
781,577,727,655
808,618,612,623
605,576,578,604
573,550,608,590
643,542,646,595
542,561,583,595
623,554,625,602
550,599,586,541
714,542,723,536
755,617,766,631
726,566,717,636
568,556,645,637
600,576,548,610
725,546,576,565
626,531,640,629
670,644,674,624
579,585,615,620
