human,continue,explain,create
457,683,676,678
747,608,744,749
566,625,948,934
582,683,675,609
549,742,757,763
430,684,824,873
588,881,894,878
533,554,576,567
522,526,718,706
498,704,533,712
522,695,546,931
427,534,619,614
481,1150,1033,1158
612,583,830,586
543,564,708,711
449,627,525,618
451,673,674,688
476,523,516,530
416,568,524,580
662,733,755,748
490,710,802,791
581,541,629,611
639,624,551,616
505,772,595,548
590,663,855,809
544,636,635,586
454,644,642,614
542,653,669,620
579,746,977,994
767,876,797,782
574,742,555,666
741,617,723,687
656,707,663,593
927,739,596,923
472,766,742,753
472,570,789,806
530,656,820,845
686,624,659,873
830,692,656,830
496,666,634,779
435,569,586,563
617,694,702,604
526,560,578,576
505,596,829,847
832,594,1047,1054
640,644,633,592
495,658,572,651
469,608,606,557
458,592,591,595
517,753,757,730
704,870,867,715
798,780,684,677
601,641,608,634
568,536,702,680
652,551,833,663
432,558,586,565
581,667,680,659
581,674,580,675
498,587,587,569
422,607,594,540
409,847,856,804
642,538,723,712
532,544,683,602
769,632,668,760
664,670,662,605
636,651,611,612
437,613,557,595
426,647,655,658
480,642,699,699
423,608,618,566
470,538,576,586
741,648,729,748
446,637,684,776
443,628,613,595
485,558,619,606
544,611,756,633
461,680,674,683
434,632,624,639
560,623,812,786
499,535,599,561
581,734,719,570
422,575,579,569
583,589,673,669
634,622,590,628
470,605,615,592
581,574,575,576
451,768,766,726
596,612,693,702
642,591,694,707
615,645,878,669
649,705,720,558
479,891,900,902
462,779,680,809
677,571,703,539
492,537,560,606
465,633,666,651
471,663,660,547
469,639,657,772
447,702,665,703
539,579,548,550
