connective,ashuman_upper,ashuman_total,asmachine_upper,asmachine_total,human_upper,human_total
but,37,238,44,213,173,384
as,69,471,77,469,48,481
once,0,30,1,37,4,24
while,30,144,28,139,22,76
before,2,61,0,44,3,69
yet,19,83,27,75,4,27
as if,2,4,0,5,0,4
if,7,60,6,49,43,143
until,1,18,1,15,2,27
instead,5,30,3,28,8,16
because,2,23,1,18,3,85
although,8,12,2,4,5,11
meanwhile,16,18,13,15,6,13
in addition,6,6,4,4,10,11
since,5,33,0,24,8,47
when,7,100,11,72,38,168
thus,4,23,4,13,1,2
also,1,99,0,99,6,127
after,8,56,5,49,27,132
indeed,10,37,10,37,10,16
however,47,65,40,52,16,30
though,7,36,2,31,5,21
even though,4,6,2,4,1,2
otherwise,0,10,1,13,1,6
still,5,40,4,32,5,68
moreover,6,7,8,8,,
then,3,27,4,28,12,74
as long as,1,2,0,1,3,6
nevertheless,7,7,3,4,0,1
later,1,18,1,20,2,29
unless,0,3,0,2,2,7
even if,0,3,0,1,1,8
just as,1,12,1,6,1,8
for instance,1,3,1,1,0,4
so that,0,1,,,0,5
therefore,4,5,2,5,0,9
previously,0,11,0,11,0,4
nonetheless,1,4,5,5,2,2
finally,5,11,2,11,2,7
in turn,0,2,,,0,1
on the other hand,2,3,1,3,,
for example,1,2,,,2,9
in fact,0,1,2,2,4,8
as soon as,0,1,2,2,0,3
now that,,,0,1,0,2
as a result,,,,,0,3
separately,,,,,0,1
