,human,ashuman,asmachine
pos_prop_ADP,0.09115770282588878,0.09283551967709384,0.09767441860465116
pos_prop_NOUN,0.17684594348222424,0.22906155398587286,0.24069767441860465
pos_prop_PROPN,0.02917046490428441,0.017154389505549948,0.019767441860465116
pos_prop_AUX,0.06654512306289881,0.03834510595358224,0.037209302325581395
pos_prop_PRON,0.09298085688240657,0.03733602421796166,0.030232558139534883
pos_prop_PART,0.01731996353691887,0.011099899091826439,0.011627906976744186
pos_prop_ADV,0.11759343664539654,0.08879919273461151,0.047674418604651166
pos_prop_PUNCT,0.1504102096627165,0.11806256306760847,0.14418604651162792
pos_prop_VERB,0.0829535095715588,0.08375378405650857,0.07906976744186046
pos_prop_DET,0.09480401093892434,0.11806256306760847,0.12790697674418605
pos_prop_ADJ,0.02643573381950775,0.05348133198789102,0.07093023255813953
pos_prop_NUM,0.008204193254329991,0.0010090817356205853,
pos_prop_CCONJ,0.028258887876025523,0.033299697275479316,0.03604651162790698
pos_prop_X,0.006381039197812215,0.010090817356205853,0.022093023255813953
pos_prop_SCONJ,0.010938924339106655,0.016145307769929364,0.0069767441860465115
flesch_reading_ease,57.597006520450506,38.63991762543398,25.508256726591924
flesch_kincaid_grade,10.842580107504482,13.611175041020402,17.268636110181777
smog,11.363523707000251,13.587251198299175,14.531155617084224
gunning_fog,12.803966831951332,16.08203461193152,18.04416192706591
automated_readability_index,9.620870557106546,13.322119439026658,16.526467714954833
coleman_liau_index,14.044763948497856,17.71184421534937,21.607401360544213
lix,39.520646693612235,48.22341413578527,51.91312590610014
rix,2.7572815533980584,4.297297297297297,4.80327868852459
passed_quality_check,True,True,True
n_stop_words,533.0,378.0,312.0
alpha_ratio,0.845031905195989,0.829465186680121,0.8267441860465117
mean_word_length,4.935278030993619,5.515640766902119,5.941860465116279
doc_length,1097.0,991.0,860.0
symbol_to_word_ratio_#,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0006865774116031583
duplicate_paragraph_chr_fraction,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.007540056550424128,0.009561752988047808,0.009268795056642637
top_ngram_chr_fraction_3,0.0,0.004302788844621514,0.006694129763130793
top_ngram_chr_fraction_4,0.0,0.0,0.0
oov_ratio,0.03646308113035551,0.08375378405650857,0.07674418604651163
first_order_coherence,0.3779792498988921,0.3053558623443728,0.08525489134093125
second_order_coherence,0.3378050412422526,0.33843412809073925,0.2306642510249453
entropy,14.073619055030614,11.187327686221792,9.90391404495216
perplexity,1294479.2582074115,72209.55712129388,20008.53166753706
per_word_perplexity,1180.0175553394818,72.86534522834903,23.265734497136116
dependency_distance_mean,2.1924791163189643,2.1701579841736107,2.3361101935739197
dependency_distance_std,0.9462892619986777,0.9849312634932663,0.8914006290203791
prop_adjacent_dependency_relation_mean,0.40293168893541076,0.46164102587150263,0.46938049325574155
prop_adjacent_dependency_relation_std,0.10560012210616786,0.13626082195245295,0.1015455171007901
token_length_mean,5.631974248927039,6.126002290950745,6.779591836734694
token_length_median,5.0,5.0,5.0
token_length_std,3.624068204555236,3.8222444945267133,4.845685910399712
sentence_length_mean,9.048543689320388,11.797297297297296,12.049180327868852
sentence_length_median,8.0,12.5,12.0
sentence_length_std,5.9404465864234055,7.5623171940911575,7.52575083015946
syllables_per_token_mean,1.9409871244635193,2.084765177548683,2.386394557823129
syllables_per_token_median,1.0,2.0,2.0
syllables_per_token_std,1.3733180473079383,1.3357912811963821,1.8801736587829507
n_tokens,932,873,735
n_unique_tokens,485,489,450
proportion_unique_tokens,0.5203862660944206,0.5601374570446735,0.6122448979591837
n_characters,5414,5458,5102
n_sentences,103,74,61
connectives,34,40,31
connectives_cap,12,16,13
pos_prop_SPACE,,0.05146316851664985,0.027906976744186046
