,human,ashuman,asmachine
pos_prop_ADV,0.02702702702702703,0.03633217993079585,0.04142011834319527
pos_prop_PROPN,0.11515863689776733,0.04844290657439446,0.07218934911242604
pos_prop_PUNCT,0.10575793184488837,0.07439446366782007,0.07810650887573964
pos_prop_VERB,0.11045828437132785,0.1643598615916955,0.12662721893491125
pos_prop_PART,0.03407755581668625,0.02422145328719723,0.03431952662721893
pos_prop_ADJ,0.09048178613396005,0.10034602076124567,0.12307692307692308
pos_prop_NOUN,0.1891891891891892,0.25951557093425603,0.22603550295857988
pos_prop_ADP,0.10223266745005875,0.1314878892733564,0.1301775147928994
pos_prop_DET,0.10340775558166862,0.04844290657439446,0.05680473372781065
pos_prop_PRON,0.0399529964747356,0.04152249134948097,0.03550295857988166
pos_prop_AUX,0.0399529964747356,0.02422145328719723,0.02603550295857988
pos_prop_SCONJ,0.01527614571092832,0.012110726643598616,0.01301775147928994
pos_prop_CCONJ,0.0199764982373678,0.01903114186851211,0.016568047337278107
pos_prop_NUM,0.007050528789659225,0.0017301038062283738,0.001183431952662722
flesch_reading_ease,45.491251947040524,16.070891422495293,29.73474627466777
flesch_kincaid_grade,14.667231308411218,19.23140713610586,16.41188481675393
smog,14.613946157001845,19.032712561301913,17.388976658221566
gunning_fog,17.66357365376057,22.601181474480153,20.23552154651631
automated_readability_index,18.46619603916333,24.394066635160684,20.936640153040678
coleman_liau_index,13.577890520694258,19.874102079395083,17.741518324607323
lix,63.25105696484201,77.1078686200378,69.17519130084575
rix,10.0,14.5625,11.692307692307692
passed_quality_check,True,True,True
n_stop_words,324.0,184.0,295.0
alpha_ratio,0.8895417156286721,0.9100346020761245,0.8946745562130177
mean_word_length,4.675675675675675,5.7854671280276815,5.417751479289941
doc_length,851.0,578.0,845.0
symbol_to_word_ratio_#,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.008042328042328042,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.010158730158730159,0.006238627501949571,0.006231117824773414
top_ngram_chr_fraction_3,0.008253968253968255,0.0,0.0
top_ngram_chr_fraction_4,0.0,0.0,0.0
oov_ratio,0.0,0.01384083044982699,0.020118343195266272
first_order_coherence,0.8310514247935751,0.8616745511690775,0.8356275129318237
second_order_coherence,0.8389554430137981,0.8421469841684613,0.8158663709958395
entropy,23.74398110051468,9.36285813146094,16.17353282728897
perplexity,20505953601.544003,11647.631475042956,10570026.102039974
per_word_perplexity,24096302.70451704,20.151611548517224,12508.906629633106
dependency_distance_mean,3.4121944000304123,3.062325186830683,2.885536224134208
dependency_distance_std,0.6227842425835618,0.2931591633765638,0.8134354141818428
prop_adjacent_dependency_relation_mean,0.44197408619604245,0.5062358152202321,0.4911204735753725
prop_adjacent_dependency_relation_std,0.051816234881267006,0.05518620902687373,0.057693721232561765
token_length_mean,5.157543391188251,6.219281663516068,5.87565445026178
token_length_median,4.0,6.0,6.0
token_length_std,2.7652743376869395,3.0727054165051837,3.027186409190562
sentence_length_mean,31.208333333333332,33.0625,29.384615384615383
sentence_length_median,33.0,31.0,28.0
sentence_length_std,7.884474018953678,10.562130171040309,18.136399700129026
syllables_per_token_mean,1.5327102803738317,1.8582230623818525,1.7408376963350785
syllables_per_token_median,1.0,2.0,1.0
syllables_per_token_std,0.8431365863520862,1.0419977991249167,0.9603976760543569
n_tokens,749,529,764
n_unique_tokens,392,372,431
proportion_unique_tokens,0.5233644859813084,0.7032136105860114,0.5641361256544503
n_characters,3979,3344,4577
n_sentences,24,16,26
connectives,24,11,21
connectives_cap,4,3,4
pos_prop_SPACE,,0.01384083044982699,0.01893491124260355
