,human,ashuman,asmachine
pos_prop_DET,0.11337579617834395,0.109717868338558,0.10105580693815988
pos_prop_NOUN,0.2611464968152866,0.26489028213166144,0.2549019607843137
pos_prop_VERB,0.05477707006369427,0.07836990595611286,0.06787330316742081
pos_prop_ADJ,0.0840764331210191,0.09717868338557993,0.11161387631975868
pos_prop_PUNCT,0.1197452229299363,0.08934169278996865,0.09200603318250378
pos_prop_ADP,0.1464968152866242,0.12695924764890282,0.09502262443438914
pos_prop_PROPN,0.04076433121019108,0.003134796238244514,0.00904977375565611
pos_prop_ADV,0.05605095541401274,0.061128526645768025,0.07692307692307693
pos_prop_AUX,0.02929936305732484,0.054858934169279,0.05128205128205128
pos_prop_CCONJ,0.03949044585987261,0.04075235109717868,0.048265460030165915
pos_prop_SCONJ,0.01019108280254777,0.0109717868338558,0.015082956259426848
pos_prop_PRON,0.025477707006369428,0.023510971786833857,0.02262443438914027
pos_prop_PART,0.003821656050955414,0.014106583072100314,0.016591251885369532
pos_prop_NUM,0.012738853503184714,,
pos_prop_X,0.0025477707006369425,0.006269592476489028,0.0030165912518853697
flesch_reading_ease,21.26006022447305,20.49677419354839,14.777629233511561
flesch_kincaid_grade,19.879144181350956,20.051468158347678,20.686483942414174
smog,19.064744038993215,18.669449996058646,18.032203843383318
gunning_fog,23.138050660792956,23.030659781985086,22.96795865633075
automated_readability_index,20.506880506607935,20.501835915088925,20.511376891842012
coleman_liau_index,21.87958883994126,22.930877796901893,24.35176079734219
lix,65.18727055800294,63.42862880091796,63.23385012919896
rix,9.34375,8.533333333333333,7.777777777777778
passed_quality_check,True,True,True
n_stop_words,313.0,265.0,257.0
alpha_ratio,0.8547770700636943,0.8918495297805643,0.861236802413273
mean_word_length,5.896815286624204,6.324451410658307,6.5656108597285066
doc_length,785.0,638.0,663.0
symbol_to_word_ratio_#,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0004065867046147591
duplicate_paragraph_chr_fraction,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.006412674462466994,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.00980761976612599,0.0058759521218716,0.005488920512299248
top_ngram_chr_fraction_3,0.012259524707657487,0.0,0.0
top_ngram_chr_fraction_4,0.011316484345529988,0.0,0.0
oov_ratio,0.044585987261146494,0.0438871473354232,0.09049773755656108
first_order_coherence,0.5578932486955197,0.6800032638270279,0.4653518156846985
second_order_coherence,0.5670064908762773,0.6866340371114867,0.4891943828860188
entropy,12.48904879406309,8.347933161116917,9.321542663936935
perplexity,265414.70175791194,4221.446670158437,11176.2096972568
per_word_perplexity,338.1079003285503,6.61668757078125,16.857028200990648
dependency_distance_mean,3.5042520384037403,2.92538781071309,2.6930581110752
dependency_distance_std,1.075815739689235,0.8170828667747796,1.2202489254005409
prop_adjacent_dependency_relation_mean,0.47261323581074893,0.5115449714261915,0.5008993785448298
prop_adjacent_dependency_relation_std,0.0874222685823063,0.09173417243178894,0.10953675767328148
token_length_mean,6.644640234948605,6.846815834767642,7.129568106312292
token_length_median,6.0,6.0,6.0
token_length_std,4.161568617491182,3.9877969211708475,4.630157838291021
sentence_length_mean,21.28125,19.366666666666667,16.72222222222222
sentence_length_median,19.5,18.0,16.0
sentence_length_std,9.715433517733524,7.327952571413715,9.88155158506978
syllables_per_token_mean,2.302496328928047,2.3803786574870913,2.521594684385382
syllables_per_token_median,2.0,2.0,2.0
syllables_per_token_std,1.5918689116186693,1.5055470107376439,1.8008023632075427
n_tokens,681,581,602
n_unique_tokens,377,366,360
proportion_unique_tokens,0.55359765051395,0.6299483648881239,0.5980066445182725
n_characters,4629,4034,4347
n_sentences,32,30,36
connectives,19,22,20
connectives_cap,4,5,9
pos_prop_SPACE,,0.018808777429467086,0.03469079939668175
