,human,ashuman,asmachine
pos_prop_PROPN,0.09986130374479889,0.211781206171108,0.23087248322147652
pos_prop_PUNCT,0.14008321775312066,0.07994389901823282,0.10469798657718121
pos_prop_AUX,0.02912621359223301,0.025245441795231416,0.03087248322147651
pos_prop_DET,0.059639389736477116,0.028050490883590462,0.0348993288590604
pos_prop_NOUN,0.20804438280166435,0.23842917251051893,0.22013422818791947
pos_prop_ADP,0.13869625520110956,0.09256661991584852,0.08859060402684564
pos_prop_ADJ,0.10679611650485436,0.11640953716690042,0.08859060402684564
pos_prop_X,0.033287101248266296,0.011220196353436185,0.012080536912751677
pos_prop_VERB,0.07766990291262135,0.1150070126227209,0.09932885906040269
pos_prop_CCONJ,0.027739251040221916,0.012622720897615708,0.0174496644295302
pos_prop_PART,0.011095700416088766,0.005610098176718092,0.009395973154362415
pos_prop_ADV,0.02912621359223301,0.0364656381486676,0.032214765100671144
pos_prop_PRON,0.026352288488210817,0.012622720897615708,0.0174496644295302
pos_prop_NUM,0.008321775312066574,0.001402524544179523,0.0013422818791946308
pos_prop_SCONJ,0.004160887656033287,0.012622720897615708,0.010738255033557046
flesch_reading_ease,41.65958298201238,19.858872923106674,25.121036585365857
flesch_kincaid_grade,13.58689080944351,15.512314045595055,15.375056770395293
smog,15.303640083715688,16.602585142122656,16.505661758641814
gunning_fog,17.235778527262507,19.09213678516229,18.743397813288478
automated_readability_index,15.895903597526704,20.477334814528596,20.55996373002523
coleman_liau_index,14.176930860033725,22.43282843894899,21.192134146341456
lix,57.92924395727937,69.67779173106646,67.89507989907486
rix,8.208333333333334,10.0,10.241379310344827
passed_quality_check,True,True,True
n_stop_words,238.0,149.0,171.0
alpha_ratio,0.8155339805825242,0.9074333800841514,0.876510067114094
mean_word_length,4.538141470180305,6.223001402524544,5.8577181208053695
doc_length,721.0,713.0,745.0
symbol_to_word_ratio_#,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.005188067444876783,0.0,0.0
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.017639429312581063,0.0,0.0011978438810141745
top_ngram_chr_fraction_3,0.02204928664072633,0.0,0.0
top_ngram_chr_fraction_4,0.017120622568093387,0.0,0.0
oov_ratio,0.023578363384188627,0.07433380084151472,0.09261744966442953
first_order_coherence,0.7165899963482566,0.7016167500762329,0.7457130192113774
second_order_coherence,0.7088704413988374,0.663641987927258,0.7220614308284389
entropy,18.047416583140578,11.07057250454987,13.209965831808093
perplexity,68848333.85027339,64252.281030652084,545777.0466189884
per_word_perplexity,95490.06081868708,90.11540116500994,732.5866397570314
dependency_distance_mean,3.5429588430678742,2.4934053689897366,3.0604909749406772
dependency_distance_std,1.5592539494119695,0.7996366382831215,0.8691481141673183
prop_adjacent_dependency_relation_mean,0.4525514729099964,0.48115527230969424,0.44310881908033
prop_adjacent_dependency_relation_std,0.06298655610462259,0.0730111624035787,0.07660204084176646
token_length_mean,5.301854974704891,6.751159196290572,6.513719512195122
token_length_median,4.0,6.0,6.0
token_length_std,3.2782609525064053,3.7923164470986266,3.9755112657072944
sentence_length_mean,24.708333333333332,20.21875,22.620689655172413
sentence_length_median,23.0,19.0,22.0
sentence_length_std,12.703277682900932,15.3637852900091,10.649312081080065
syllables_per_token_mean,1.6559865092748736,1.9675425038639875,1.8765243902439024
syllables_per_token_median,1.0,2.0,1.0
syllables_per_token_std,0.9768149086464227,1.1756930230125318,1.1443115378893018
n_tokens,593,647,656
n_unique_tokens,286,450,444
proportion_unique_tokens,0.4822934232715008,0.6955177743431221,0.676829268292683
n_characters,3272,4437,4364
n_sentences,24,32,29
connectives,10,14,11
connectives_cap,1,4,3
pos_prop_INTJ,,,0.0013422818791946308
