human,ashuman,asmachine
734,584,621
775,583,558
794,634,738
749,529,764
821,553,525
536,541,563
684,711,640
684,682,654
958,606,931
686,541,682
703,554,554
705,571,709
670,537,658
572,568,574
602,549,523
700,718,540
809,810,529
436,535,544
612,525,612
763,590,531
666,597,663
617,528,551
553,565,548
657,623,520
495,528,534
635,547,559
594,594,579
807,522,736
649,541,560
893,821,906
475,552,557
561,563,551
720,555,560
485,523,517
535,519,518
559,551,520
818,858,773
719,550,703
640,577,566
720,538,522
577,596,584
565,622,624
730,588,562
685,541,692
555,543,542
675,556,677
586,600,577
606,567,609
580,564,538
730,736,556
578,590,583
903,517,761
651,579,532
521,535,529
743,564,736
677,583,683
685,597,627
880,640,743
550,569,513
555,563,552
547,562,528
772,525,729
607,545,563
501,593,607
573,546,560
815,576,555
460,550,544
689,577,563
738,537,517
704,550,522
655,654,527
441,527,575
713,579,706
571,588,606
563,552,587
534,560,560
612,618,622
529,537,588
502,539,547
724,715,548
624,591,527
596,540,561
833,601,560
950,916,771
917,562,764
638,573,631
538,533,540
668,687,701
542,635,615
590,597,544
550,656,546
691,563,569
740,685,586
653,519,565
568,558,552
609,570,566
780,559,555
639,628,536
628,573,572
537,544,536
548,665,672
531,530,523
840,746,681
824,784,655
586,671,682
1030,809,890
778,593,769
603,755,755
588,532,616
696,798,781
723,556,710
523,530,575
778,787,721
593,647,656
485,572,522
898,768,730
603,687,697
563,675,687
708,695,521
725,718,547
643,536,531
736,710,674
545,570,593
958,796,723
506,545,577
780,770,690
705,733,706
800,802,692
793,774,732
958,816,657
823,715,720
570,635,533
779,536,698
522,669,681
789,767,754
695,683,693
962,744,615
627,540,627
712,774,734
693,534,694
706,698,700
609,693,653
499,544,606
492,584,586
712,739,736
659,648,546
643,553,638
670,546,649
780,759,709
980,542,858
677,609,672
735,674,735
713,718,729
745,759,777
612,715,708
569,666,690
847,540,754
589,690,680
514,642,646
761,688,532
720,746,661
743,740,549
756,546,687
794,537,525
684,594,702
760,757,693
1010,832,691
700,706,592
557,512,605
683,674,552
756,747,667
951,802,545
582,571,612
571,522,599
546,619,630
601,602,652
926,541,748
652,523,516
692,528,696
694,559,644
666,547,676
522,527,536
1025,814,707
518,537,570
644,679,695
592,700,702
699,821,826
768,570,758
648,560,647
629,549,613
913,856,541
716,773,772
763,711,653
799,644,782
492,693,706
538,530,522
503,623,620
515,631,631
540,674,677
536,560,590
