connective,human_upper,human_total,gpt_upper,gpt_total
previously,1,5,1,2
when,4,41,1,30
while,17,48,30,64
then,1,8,0,6
now that,1,1,0,0
finally,1,4,7,7
even though,2,6,0,0
therefore,34,42,27,30
for instance,7,9,2,2
after,5,40,3,20
nonetheless,0,0,3,3
still,2,21,0,25
because,4,29,0,0
if,2,11,0,2
nevertheless,4,4,2,2
in turn,0,5,0,6
however,65,78,119,119
as a result,2,5,4,4
though,2,8,0,0
moreover,21,21,15,15
otherwise,0,1,0,0
but,0,53,0,31
thus,13,26,0,1
before,0,9,0,6
by contrast,1,1,0,0
for example,18,20,7,7
on the other hand,8,9,5,7
as,24,451,6,411
yet,0,12,0,6
until,0,6,0,2
once,0,4,1,4
also,7,127,0,111
in fact,2,3,0,0
since,3,17,1,1
later,0,6,0,0
instead,1,3,2,3
as soon as,1,2,0,0
meanwhile,2,2,0,0
although,24,34,6,10
as long as,0,1,0,0
indeed,7,8,0,1
unless,0,1,0,0
in addition,24,26,17,19
