gpt,human
231.0,218.0
235.0,232.0
281.0,216.0
223.0,189.0
180.0,103.0
189.0,196.0
266.0,268.0
233.0,228.0
194.0,183.0
190.0,157.0
207.0,210.0
176.0,168.0
156.0,122.0
198.0,218.0
233.0,177.0
220.0,256.0
235.0,196.0
216.0,133.0
174.0,161.0
222.0,201.0
191.0,168.0
207.0,193.0
233.0,193.0
200.0,217.0
185.0,226.0
201.0,187.0
221.0,198.0
175.0,215.0
170.0,144.0
168.0,184.0
232.0,245.0
228.0,263.0
185.0,146.0
231.0,231.0
169.0,165.0
176.0,144.0
270.0,262.0
199.0,166.0
162.0,171.0
158.0,196.0
214.0,248.0
238.0,280.0
222.0,226.0
206.0,178.0
182.0,172.0
222.0,179.0
210.0,188.0
235.0,190.0
180.0,187.0
194.0,177.0
243.0,163.0
175.0,185.0
217.0,187.0
237.0,240.0
212.0,178.0
200.0,150.0
221.0,179.0
209.0,169.0
259.0,224.0
217.0,192.0
182.0,185.0
199.0,142.0
277.0,222.0
179.0,172.0
197.0,156.0
208.0,183.0
202.0,230.0
181.0,173.0
165.0,153.0
205.0,191.0
211.0,210.0
213.0,184.0
257.0,225.0
250.0,245.0
175.0,189.0
182.0,158.0
175.0,135.0
203.0,197.0
310.0,273.0
178.0,123.0
178.0,161.0
203.0,188.0
189.0,144.0
203.0,208.0
251.0,278.0
193.0,218.0
173.0,189.0
228.0,188.0
230.0,181.0
220.0,195.0
240.0,170.0
207.0,213.0
184.0,203.0
196.0,202.0
190.0,209.0
206.0,200.0
234.0,233.0
184.0,174.0
151.0,128.0
221.0,170.0
