,human,continue,create,explain
pos_prop_ADV,0.0817174515235457,0.056179775280898875,0.06956521739130435,0.07261146496815286
pos_prop_ADP,0.10526315789473684,0.10986267166042447,0.09043478260869565,0.1159235668789809
pos_prop_PRON,0.03185595567867036,0.04119850187265917,0.04,0.01910828025477707
pos_prop_DET,0.1260387811634349,0.11485642946317104,0.14608695652173914,0.13885350318471337
pos_prop_ADJ,0.054016620498614956,0.11610486891385768,0.08,0.09171974522292993
pos_prop_NOUN,0.21191135734072022,0.23595505617977527,0.20173913043478262,0.22420382165605096
pos_prop_PUNCT,0.12188365650969529,0.10362047440699126,0.10434782608695652,0.10318471337579618
pos_prop_PROPN,0.060941828254847646,0.031210986267166042,0.04173913043478261,0.04203821656050955
pos_prop_CCONJ,0.029085872576177285,0.05118601747815231,0.04,0.044585987261146494
pos_prop_VERB,0.0664819944598338,0.07116104868913857,0.07652173913043478,0.06878980891719745
pos_prop_NUM,0.037396121883656507,0.003745318352059925,0.0017391304347826088,0.015286624203821656
pos_prop_X,0.006925207756232687,0.00749063670411985,0.0052173913043478265,0.003821656050955414
pos_prop_AUX,0.045706371191135735,0.033707865168539325,0.05217391304347826,0.033121019108280254
pos_prop_PART,0.008310249307479225,0.016229712858926344,0.019130434782608695,0.0012738853503184713
pos_prop_SCONJ,0.012465373961218837,0.00749063670411985,0.01391304347826087,0.01019108280254777
dependency_distance_mean,2.6770004842753705,2.7344902991485456,2.8222498927402344,2.8391997515535468
dependency_distance_std,0.9828196714710937,0.7812707888687703,0.724452638898885,0.8907891423273245
prop_adjacent_dependency_relation_mean,0.43365509838923305,0.46462339118817725,0.4401981457090377,0.4593930166029919
prop_adjacent_dependency_relation_std,0.10597201255465886,0.10543189601388663,0.08319662385623582,0.12287918965726147
token_length_mean,5.783227848101266,6.449860724233983,6.601941747572815,6.38122332859175
token_length_median,5.0,5.0,5.0,5.0
token_length_std,3.4857989965412197,3.9424295398879474,4.3079060437808465,3.8539909572585587
sentence_length_mean,14.69767441860465,16.318181818181817,17.166666666666668,17.575
sentence_length_median,12.0,15.5,17.5,16.0
sentence_length_std,8.07964679092408,5.953504419754222,5.859939324676398,6.927797268973739
syllables_per_token_mean,1.9113924050632911,2.1727019498607243,2.180582524271845,2.0825035561877665
syllables_per_token_median,1.0,2.0,2.0,2.0
syllables_per_token_std,1.221535383899923,1.3785993448083267,1.47484132781085,1.3136848340296363
n_tokens,632,718,515,703
n_unique_tokens,356,390,305,333
proportion_unique_tokens,0.5632911392405063,0.5431754874651811,0.5922330097087378,0.47368421052631576
n_characters,3749,4714,3460,4568
n_sentences,43,44,30,40
passed_quality_check,True,True,True,True
n_stop_words,300.0,346.0,258.0,325.0
alpha_ratio,0.8421052631578947,0.8926342072409488,0.8782608695652174,0.8726114649681529
mean_word_length,5.192520775623269,5.885143570536829,6.017391304347826,5.819108280254777
doc_length,722.0,801.0,575.0,785.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.01617386909274703,0.09609151572926597
duplicate_ngram_chr_fraction_6,0.0,0.0,0.01617386909274703,0.0449952335557674
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.032793136320305054
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.032793136320305054
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.032793136320305054
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.032793136320305054
top_ngram_chr_fraction_2,0.005595344673231871,0.007362414872078042,0.006823351023502654,0.006863679694947569
top_ngram_chr_fraction_3,0.009400179051029543,0.005889931897662433,0.018953752843062926,0.014299332697807437
top_ngram_chr_fraction_4,0.017457475380483437,0.0,0.021986353297952996,0.0
oov_ratio,0.02631578947368421,0.017478152309612985,0.03826086956521739,0.022929936305732482
flesch_reading_ease,49.90494919698459,33.91883116883113,33.45568862275451,37.913235294117655
flesch_kincaid_grade,12.69652340300265,16.411973917447458,16.83587378640777,15.837791963015647
smog,14.183206539894972,16.498967978881737,16.52667757954773,16.52667757954773
gunning_fog,16.06894318516338,19.95345657128387,19.682200647249193,19.547780938833572
automated_readability_index,13.157840373859287,17.10793492023297,18.248478964401293,17.41306187766714
coleman_liau_index,16.191455696202524,20.311253481894152,21.295145631067957,20.0373826458037
lix,47.450838975566676,56.5688781970119,56.77831715210357,58.542283072546226
rix,4.813953488372093,6.568181818181818,6.8,7.2
entropy,11.911262547312962,12.304622457960049,9.005657321371178,12.77051164031089
perplexity,148934.59775349317,220713.87489947243,8149.055593082887,351692.2000307233
per_word_perplexity,206.28060630677726,275.5479087384175,14.17227059666589,448.0155414404118
first_order_coherence,0.4523955723714261,0.6546410717243372,0.5912912778299431,0.5831775175264249
second_order_coherence,0.408816902648385,0.6393213861045384,0.6358321229262012,0.5679272928912389
connectives,19,22,22,36
connectives_cap,10,8,5,8
pos_prop_SPACE,,,0.017391304347826087,0.015286624203821656
