,human,continue,create,explain
pos_prop_ADP,0.11246200607902736,0.10281517747858017,0.0967741935483871,0.1155433287482806
pos_prop_DET,0.10182370820668693,0.12729498164014688,0.13022700119474312,0.11141678129298486
pos_prop_NOUN,0.20820668693009117,0.22399020807833536,0.24253285543608125,0.22145804676753783
pos_prop_VERB,0.08966565349544073,0.09179926560587515,0.08004778972520908,0.09628610729023383
pos_prop_PRON,0.04711246200607903,0.03427172582619339,0.035842293906810034,0.033012379642365884
pos_prop_ADJ,0.06231003039513678,0.09914320685434516,0.1111111111111111,0.07427785419532325
pos_prop_PART,0.019756838905775075,0.022031823745410038,0.016726403823178016,0.016506189821182942
pos_prop_PUNCT,0.1474164133738602,0.10281517747858017,0.12066905615292713,0.11416781292984869
pos_prop_SPACE,0.015197568389057751,,,0.017881705639614855
pos_prop_SCONJ,0.0121580547112462,0.017135862913096694,0.016726403823178016,0.01925722145804677
pos_prop_ADV,0.037993920972644375,0.07343941248470012,0.05734767025089606,0.06052269601100413
pos_prop_AUX,0.03343465045592705,0.05018359853121175,0.04062126642771804,0.037138927097661624
pos_prop_PROPN,0.0547112462006079,0.009791921664626682,,0.030261348005502064
pos_prop_CCONJ,0.0486322188449848,0.042839657282741736,0.043010752688172046,0.0453920220082531
pos_prop_X,0.00911854103343465,0.0012239902080783353,0.0011947431302270011,0.0068775790921595595
passed_quality_check,True,True,False,True
n_stop_words,252.0,369.0,343.0,301.0
alpha_ratio,0.8297872340425532,0.8910648714810282,0.8721624850657109,0.8679504814305364
mean_word_length,5.820668693009119,6.445532435740514,6.618876941457587,6.1911966987620355
doc_length,658.0,817.0,837.0,727.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.030661556407265457,0.20334661354581673,0.030895580758701604
duplicate_ngram_chr_fraction_6,0.0,0.018663556073987668,0.1904382470119522,0.030895580758701604
duplicate_ngram_chr_fraction_7,0.0,0.0,0.14215139442231076,0.030895580758701604
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0906772908366534,0.030895580758701604
duplicate_ngram_chr_fraction_9,0.0,0.0,0.06661354581673307,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.06661354581673307,0.0
top_ngram_chr_fraction_2,0.005494505494505495,0.01299783369438427,0.055458167330677294,0.007039499413375049
top_ngram_chr_fraction_3,0.006868131868131868,0.009331778036993834,0.047330677290836655,0.03813062182244818
top_ngram_chr_fraction_4,0.005494505494505495,0.019496750541576405,0.03952191235059761,0.008212749315604223
oov_ratio,0.044072948328267476,0.01346389228886169,0.026284348864994027,0.08665749656121045
first_order_coherence,0.5419929648935795,0.49299237951054237,0.7192613553255797,0.6649914495646954
second_order_coherence,0.5548016446021696,0.4639590865908525,0.6450216678472666,0.6586064975107869
entropy,10.697092696620334,13.41199413809394,13.079440079966917,11.35887417730693
perplexity,44227.08647823873,667967.0587764503,478992.43357164244,85722.80546601642
per_word_perplexity,67.21441714018044,817.5851392612611,572.272919440433,117.91307491886715
dependency_distance_mean,3.533483814681777,2.8632332669272964,3.231116411719933,3.142366517155668
dependency_distance_std,1.461834551649433,1.2830699619435642,0.7105529686679745,0.9090343856353049
prop_adjacent_dependency_relation_mean,0.4421911358270965,0.45050531557163914,0.4484663849619727,0.508361855803779
prop_adjacent_dependency_relation_std,0.08306913653363185,0.1507735850613607,0.07248548777490038,0.09364448785695849
flesch_reading_ease,23.743638214337636,24.339322623074054,9.133306941145435,23.923361237577723
flesch_kincaid_grade,19.066546762589926,18.65283465876951,21.712606044538713,18.71749294184077
smog,18.7741,17.515087592945793,18.913394532934912,18.276285997285555
gunning_fog,22.58262313226342,21.339486906465243,24.191357370095442,22.215998494259367
automated_readability_index,20.83455589374654,20.806732439357134,22.352253777836694,20.63934594391116
coleman_liau_index,22.230863309352518,24.11345156889495,26.003967391304347,23.021490683229803
lix,62.032097399003874,61.26140485142915,64.69034994697773,62.0617353660832
rix,8.692307692307692,7.7560975609756095,8.390243902439025,8.303030303030303
token_length_mean,6.703237410071942,7.069577080491133,7.389945652173913,6.8602484472049685
token_length_median,5.0,6.0,6.0,5.0
token_length_std,4.60528984485746,4.594238572521918,4.88413102471786,4.587219343429482
sentence_length_mean,21.384615384615383,17.878048780487806,17.951219512195124,19.515151515151516
sentence_length_median,20.0,20.0,18.0,19.0
sentence_length_std,10.816927343740609,9.16300920310337,5.8097950071396784,5.893608310401795
syllables_per_token_mean,2.2302158273381294,2.311050477489768,2.567934782608696,2.262422360248447
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4864691725362402,1.4862170272279491,1.8239809769957427,1.4862990329676733
n_tokens,556,733,736,644
n_unique_tokens,308,342,315,320
proportion_unique_tokens,0.5539568345323741,0.4665757162346521,0.4279891304347826,0.4968944099378882
n_characters,3830,5266,5540,4501
n_sentences,26,41,41,33
connectives,23,24,23,29
connectives_cap,2,7,5,2
pos_prop_NUM,,0.0012239902080783353,0.007168458781362007,
