,human,continue,create,explain
first_order_coherence,0.41888210679525917,0.7083201266825199,0.7019253067481213,0.677487650513649
second_order_coherence,0.4278245491097385,0.7109442788821,0.7077714596924028,0.6866607236511567
pos_prop_SPACE,0.026397515527950312,,,
pos_prop_ADP,0.08385093167701864,0.1116816431322208,0.10894941634241245,0.09912170639899624
pos_prop_NOUN,0.21583850931677018,0.2593068035943517,0.2503242542153048,0.24968632371392724
pos_prop_ADJ,0.14285714285714285,0.10911424903722722,0.08430609597924774,0.14429109159347553
pos_prop_AUX,0.026397515527950312,0.0410783055198973,0.0324254215304799,0.03638644918444166
pos_prop_DET,0.08229813664596274,0.13350449293966624,0.1517509727626459,0.09912170639899624
pos_prop_CCONJ,0.043478260869565216,0.055198973042362,0.038910505836575876,0.060225846925972396
pos_prop_ADV,0.052795031055900624,0.05391527599486521,0.05188067444876784,0.07151819322459223
pos_prop_PRON,0.009316770186335404,0.03465982028241335,0.03761348897535668,0.02258469259723965
pos_prop_VERB,0.04503105590062112,0.07830551989730423,0.09987029831387809,0.06398996235884567
pos_prop_PUNCT,0.17391304347826086,0.09499358151476252,0.08819714656290532,0.11292346298619825
pos_prop_NUM,0.003105590062111801,,0.0012970168612191958,0.0037641154328732747
pos_prop_SCONJ,0.007763975155279503,0.0038510911424903724,0.020752269779507133,0.013801756587202008
pos_prop_X,0.009316770186335404,,,0.005018820577164366
pos_prop_PROPN,0.07453416149068323,0.0012836970474967907,0.02464332036316472,0.013801756587202008
pos_prop_PART,0.003105590062111801,0.023106546854942234,0.009079118028534372,0.0037641154328732747
dependency_distance_mean,3.161603077433869,2.811976257631653,3.00167401977967,3.269906804185447
dependency_distance_std,1.4153358629184123,0.5701790679979689,0.6808220424454415,0.9721229969186865
prop_adjacent_dependency_relation_mean,0.46212963971903426,0.47173161533756014,0.4425414400915562,0.4722322539621017
prop_adjacent_dependency_relation_std,0.11770156786984874,0.07396303146149943,0.07172446854894703,0.08505131655925434
token_length_mean,7.344357976653696,6.941843971631205,6.362731152204836,7.579320113314448
token_length_median,6.0,6.0,5.0,6.0
token_length_std,4.7317226973991495,4.430490039469624,3.85706636731341,4.7006807525882985
sentence_length_mean,21.416666666666668,17.195121951219512,17.575,19.61111111111111
sentence_length_median,22.0,17.0,16.5,18.5
sentence_length_std,12.857930972317781,4.954522507549121,5.323943557176391,9.618494273989326
syllables_per_token_mean,2.649805447470817,2.445390070921986,2.1536273115220483,2.737960339943343
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.7659583549918882,1.6287085419163683,1.4119023870065293,1.7980642183390647
n_tokens,514,705,703,706
n_unique_tokens,302,303,329,332
proportion_unique_tokens,0.5875486381322957,0.4297872340425532,0.46799431009957326,0.4702549575070821
n_characters,3890,4968,4541,5442
n_sentences,24,41,40,36
flesch_reading_ease,-39.07645752269778,-17.498048780487807,6.7995044452347315,-44.70172253698456
flesch_kincaid_grade,24.030204280155647,19.97170039785504,16.67705227596017,24.366265344664786
smog,21.005219370545724,18.26991494085344,16.435016907526514,20.293766347859297
gunning_fog,26.85460440985733,23.218474312402698,19.377083926031293,26.258042178155495
automated_readability_index,23.870259403372245,19.863646081992734,17.32596372688478,24.074153289266604
coleman_liau_index,26.002723735408555,23.296624113475172,19.92864864864865,27.25705382436261
lix,70.44390402075227,61.73412904341809,55.27059032716927,68.90289581366068
rix,10.5,7.658536585365853,6.625,9.666666666666666
entropy,7.61365773485886,13.556912832484741,11.044417744898468,11.701873248132536
perplexity,2025.6739416420105,772133.5702386079,62593.56428776388,120797.78740514524
per_word_perplexity,3.145456431121134,991.185584388457,81.18490828503747,151.56560527621735
passed_quality_check,True,True,True,True
n_stop_words,187.0,348.0,340.0,317.0
alpha_ratio,0.7701863354037267,0.9050064184852374,0.9105058365758755,0.8833124215809285
mean_word_length,6.063664596273292,6.377406931964057,5.889753566796369,6.828105395232121
doc_length,644.0,779.0,771.0,797.0
duplicate_ngram_chr_fraction_5,0.02862335302135393,0.09749647390691114,0.016015252621544327,0.14236902050113895
duplicate_ngram_chr_fraction_6,0.02862335302135393,0.09749647390691114,0.016015252621544327,0.12382037097299056
duplicate_ngram_chr_fraction_7,0.02862335302135393,0.06805359661495064,,0.11112918971688904
duplicate_ngram_chr_fraction_8,0.02862335302135393,0.06805359661495064,,0.06475756589651806
duplicate_ngram_chr_fraction_9,0.02862335302135393,0.05007052186177715,,0.06475756589651806
duplicate_ngram_chr_fraction_10,0.0222626079054975,0.030324400564174896,,0.04002603319232021
top_ngram_chr_fraction_2,0.019990913221263062,0.022566995768688293,0.03775023832221163,0.03368044256426944
top_ngram_chr_fraction_3,0.024988641526578828,0.036671368124118475,0.008579599618684462,0.044256426944354055
top_ngram_chr_fraction_4,0.01635620172648796,0.03173483779971791,,0.01366742596810934
oov_ratio,0.07919254658385093,0.024390243902439025,0.01297016861219196,0.04893350062735257
connectives,9,20,16,24
connectives_cap,1,3,8,7
