,human,continue,create,explain
dependency_distance_mean,3.2759319890441287,2.928623069500193,3.0719721582271253,3.2883087948906784
dependency_distance_std,1.331403803151339,0.7263105047927958,0.9060096079308443,0.9763084957956092
prop_adjacent_dependency_relation_mean,0.4627070950354024,0.46584372308349653,0.47155796517908016,0.501742852406632
prop_adjacent_dependency_relation_std,0.06192864784599011,0.08617427260171365,0.08805114940609975,0.06732919228266214
passed_quality_check,True,True,True,True
n_stop_words,431.0,259.0,436.0,354.0
alpha_ratio,0.8533218291630716,0.8846153846153846,0.9161230195712954,0.8758620689655172
mean_word_length,6.420189818809319,6.548076923076923,7.158434296365331,6.464367816091954
doc_length,1159.0,624.0,1073.0,870.0
duplicate_ngram_chr_fraction_5,0.00711997152011392,0.04236921746649373,0.14849428868120457,0.06268703732871318
top_ngram_chr_fraction_2,0.012815948736205056,0.007133592736705577,0.02215299411561094,0.0061426996377382265
top_ngram_chr_fraction_3,0.016019935920256318,0.005836575875486381,0.030691127264335986,0.0039376279729091196
top_ngram_chr_fraction_4,0.01423994304022784,0.033073929961089495,0.033229491173416406,0.007875255945818239
oov_ratio,0.13891285591026747,0.052884615384615384,0.028890959925442685,0.12183908045977011
pos_prop_DET,0.11906816220880069,0.12179487179487179,0.12022367194780988,0.10804597701149425
pos_prop_ADJ,0.091458153580673,0.11378205128205128,0.14631873252562907,0.09080459770114943
pos_prop_NOUN,0.2441760138050043,0.23076923076923078,0.255358807082945,0.23448275862068965
pos_prop_AUX,0.03710094909404659,0.07051282051282051,0.04473438956197577,0.04827586206896552
pos_prop_PUNCT,0.12597066436583262,0.09775641025641026,0.08014911463187326,0.10574712643678161
pos_prop_PART,0.007765314926660914,0.01282051282051282,0.016775396085740912,0.008045977011494253
pos_prop_VERB,0.06729939603106126,0.09134615384615384,0.07921714818266543,0.0839080459770115
pos_prop_CCONJ,0.0362381363244176,0.04326923076923077,0.03727865796831314,0.03333333333333333
pos_prop_ADP,0.1182053494391717,0.07371794871794872,0.11649580615097857,0.12183908045977011
pos_prop_PRON,0.022433132010353754,0.02403846153846154,0.017707362534948742,0.03908045977011494
pos_prop_ADV,0.055220017256255395,0.08493589743589744,0.06989748369058714,0.052873563218390804
pos_prop_X,0.007765314926660914,,,0.008045977011494253
pos_prop_PROPN,0.059534081104400345,0.003205128205128205,0.005591798695246971,0.021839080459770115
pos_prop_SCONJ,0.0060396893874029335,0.014423076923076924,0.010251630941286114,0.02528735632183908
pos_prop_NUM,0.001725625539257981,,,
first_order_coherence,0.5357657745480537,0.6860006162614534,0.6842549475384694,0.7606582183104295
second_order_coherence,0.5519051121008074,0.6897283405996859,0.6780153621733188,0.7626128016333831
flesch_reading_ease,-39.25736488041494,-23.20026982551454,-43.1733379120879,-30.931171593830328
flesch_kincaid_grade,23.054098465133574,20.608971371852473,23.9964918946302,22.40552570694088
smog,18.243605946275583,18.338567127224334,19.840901535948273,19.007040853586776
gunning_fog,23.05933046541682,23.74608713823007,25.62675551398956,23.666889460154245
automated_readability_index,21.829914847664064,20.522147111064676,24.304001636661205,21.785642673521856
coleman_liau_index,25.65109989909182,24.449733570159854,27.887335359675784,24.488123393316197
lix,61.58374493246234,65.04905443527322,68.62615930169122,63.40886889460154
rix,7.684210526315789,8.029411764705882,9.423076923076923,8.55
entropy,18.21360678536223,9.238624391765384,15.146662282236875,12.2404976723498
perplexity,81295952.24240084,10286.878106297785,3785400.6156950532,207004.8852788212
per_word_perplexity,70143.18571389202,16.485381580605424,3527.866370638447,237.9366497457715
token_length_mean,7.339051463168516,7.149200710479573,7.695035460992908,7.110539845758355
token_length_median,6.0,6.0,6.0,6.0
token_length_std,5.2534241112256534,4.202567755276581,4.743598648660457,4.727333086925039
sentence_length_mean,17.385964912280702,16.558823529411764,18.98076923076923,19.45
sentence_length_median,16.0,16.5,18.5,18.0
sentence_length_std,7.7386122015375856,4.532180208183074,7.826214294121698,6.391204894227692
syllables_per_token_mean,2.7003027245206863,2.520426287744227,2.727456940222898,2.577120822622108
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,2.324786354382777,1.60179467381776,1.7903506748472482,1.9825306302942334
n_tokens,991,563,987,778
n_unique_tokens,498,286,394,366
proportion_unique_tokens,0.5025227043390514,0.5079928952042628,0.39918946301925023,0.4704370179948586
n_characters,7441,4086,7681,5624
n_sentences,57,34,52,40
connectives,22,14,36,35
connectives_cap,7,2,13,7
duplicate_ngram_chr_fraction_6,,0.029399048854301772,0.11907234337140879,0.016695542605134665
duplicate_ngram_chr_fraction_7,,0.029399048854301772,0.059536171685704395,0.00756024570798551
pos_prop_SPACE,,0.017628205128205128,,0.01839080459770115
duplicate_ngram_chr_fraction_8,,,0.04476750894196377,
duplicate_ngram_chr_fraction_9,,,0.04476750894196377,
duplicate_ngram_chr_fraction_10,,,0.020768431983385256,
