human,continue,explain,create
3226,4194,4482,4277
2787,3832,3840,4083
3741,4407,2909,4421
3185.0,4326,4118,4568
2905,4352,3992.0,4093
4587,4871,4039,5043
2566,3877,3756,3616
3349,4036,4254.0,4194
5082,3424,4655,5481
4809,3113,4793.0,5418
3506,4643,4551.0,4209
2709,3001,3301,3106
3014,2938,3598,4051
4310,4566,3514,4990
2881,4215,3604.0,3992
3378,3906,4124,4232
2956,4445,4235,4076
2565,3218,3476,3386
2733,3946,4001.0,3540
3951,4641,4393,4567
3087,2890,3777,4290
3495,4412,4472,4629
4029,4979,4705.0,4539
2733,3898,4101,3864
3077,3902,3958.0,4172
3975,4448,4103.0,4529
2949,3985,4050.0,4154
2655,3794,3837,3881
3487,2803,3651,3752
4220,4536,4343,4808
5171,5526,5046,5290
3277,4048,3872,4551
2930,3815,3719,3866
3846,4230,3041,4569
3411,4318,4186,4264
3202,4240,4112,4453
2659,3899,2990,3888
3346,3873,3958,4218
2800,3851,3449,3912
3473,4731,4601.0,4764
3679.0,4046,4357,4602
4995,5354,3564,5225
2670,3953,3921.0,4221.0
2921,4262,4119.0,4036
5042,5236,4644.0,5254
3368,3267,3166,3831
3747,4502,4321,3579
4700.0,4892,3372.0,5314
2555,3916,3971.0,3952
4093,4718,4572.0,4408
4802,4904,4399,5282
3945,4381,4329,3380
3861,3074,3133,4216
3075,3276,3909.0,4130
2448,3987,3627,3824
2542,3844,3905,4055
2876,4168,4122,4135.0
3098,3205,3962,3711
2974,4051,4071,4152
4215,4869,5018,5101
3176,4244,3495,4191
2804,3516,3740,3746
2956.0,3782,3841.0,4150
2921,4278,3966,4085
2808,3452,3643,3720
2855,3675,3611,3024
3655,3253,3620,4267
3394,4569,4797,4439
2874,4110,4039,4139
4012,4774,4682,4769
3265,3097,3620,3837
4926,4919,4827,4322
5453,3231,3701.0,5848
2322,3802,3744,4204
3375,2838,3419.0,3914
5121,5005,3975,5532
2286,3111,3211,3330
3493,4231,3467,4302
3601,4932.0,4647,4959
2426,3779,3696,4048
3894,3066,4367,4691
2732,3554,3596,3877
2584,3708,3707,3958
3067,4208,4021,4322
4381,4519,4621.0,3514
2209,3374,3417,4012
5636,4380,4148,5096
7382,5751,5481,5221.0
2838,4235,4075,4132
2671,3358,3818,3916
2664,3179,3536,3394
3545,4620,5172.0,4654
3099,4526,4298,4548
3056,4215,4112,3870
4690,4333,3125,4281
2849,3520,3959,3766
2834,3275,3732,4092
5025,5425,4634.0,5211
2994,3924,3857.0,4052
3563,4388,4577.0,4619
