,human-full,continue,explain,human-cont,create
first_order_coherence,0.4247107444552042,0.569520812195081,0.6325804442167282,0.42522047124803064,0.3722849211635742
second_order_coherence,0.4315305715466946,0.5806791302748024,0.60483385125796,0.4434653287230782,0.3562877838216398
token_length_mean,5.601902173913044,5.472803347280335,5.72680412371134,5.613003095975232,5.56195462478185
token_length_median,5.0,5.0,5.0,5.0,5.0
token_length_std,3.091089344916472,3.0143125958936072,2.9935675184310906,3.098299437186018,3.003503077144384
sentence_length_mean,12.266666666666667,17.071428571428573,17.636363636363637,12.666666666666666,11.9375
sentence_length_median,11.0,17.0,18.0,11.0,11.0
sentence_length_std,6.791825151525096,6.74499058258673,3.310389355642386,7.089530161336274,7.622352682516512
syllables_per_token_mean,1.9130434782608696,1.7698744769874477,1.943298969072165,1.9272445820433437,1.9284467713787086
syllables_per_token_median,2.0,1.0,2.0,2.0,2.0
syllables_per_token_std,1.265359322683065,1.0396794972717893,1.1131275912171228,1.302284546192126,1.2685388370870352
n_tokens,736,239,194,646,573
n_unique_tokens,404,165,130,359,322
proportion_unique_tokens,0.5489130434782609,0.6903765690376569,0.6701030927835051,0.5557275541795665,0.5619546247818499
n_characters,4230,1333,1132,3722,3275
n_sentences,60,14,11,51,48
dependency_distance_mean,2.5858403008934627,2.8430607662645477,2.853314246744783,2.5966685933141815,2.581703789694066
dependency_distance_std,0.9417119535159123,0.7724412386420184,0.6094669823811639,0.9534827886409731,1.0933925648572866
prop_adjacent_dependency_relation_mean,0.4366720867425202,0.4463984964615217,0.488583501325948,0.4299712710143415,0.4367947131951582
prop_adjacent_dependency_relation_std,0.10823218437993402,0.0899746759097155,0.08001000211124508,0.10472876892016533,0.12028921222313728
pos_prop_NUM,0.014234875444839857,0.003787878787878788,0.004651162790697674,0.013477088948787063,0.01664145234493192
pos_prop_NOUN,0.17556346381969157,0.17045454545454544,0.1813953488372093,0.16981132075471697,0.17700453857791226
pos_prop_VERB,0.0830367734282325,0.10227272727272728,0.08372093023255814,0.08490566037735849,0.07866868381240545
pos_prop_PUNCT,0.1269276393831554,0.0946969696969697,0.09767441860465116,0.1293800539083558,0.13313161875945537
pos_prop_AUX,0.04863582443653618,0.07954545454545454,0.046511627906976744,0.04986522911051213,0.046898638426626324
pos_prop_ADP,0.10794780545670225,0.07954545454545454,0.13488372093023257,0.09838274932614555,0.1043872919818457
pos_prop_ADJ,0.0498220640569395,0.06060606060606061,0.046511627906976744,0.04582210242587601,0.04236006051437216
pos_prop_DET,0.1162514827995255,0.11363636363636363,0.11162790697674418,0.11590296495956873,0.11800302571860817
pos_prop_PRON,0.045077105575326216,0.056818181818181816,0.023255813953488372,0.04851752021563342,0.048411497730711045
pos_prop_ADV,0.08778173190984578,0.10984848484848485,0.046511627906976744,0.09433962264150944,0.08623298033282904
pos_prop_PROPN,0.10320284697508897,0.041666666666666664,0.15813953488372093,0.10242587601078167,0.10741301059001512
pos_prop_CCONJ,0.017793594306049824,0.045454545454545456,0.03255813953488372,0.02021563342318059,0.01664145234493192
pos_prop_SCONJ,0.009489916963226572,0.022727272727272728,0.018604651162790697,0.01078167115902965,0.009077155824508321
pos_prop_PART,0.014234875444839857,0.01893939393939394,0.013953488372093023,0.016172506738544475,0.015128593040847202
entropy,10.060006117028202,3.8155318688885527,2.762900353751694,8.955566475916479,7.777457956185998
perplexity,23388.649440747708,45.40089728725966,15.845734600874732,7750.917294441882,2386.2012760071852
per_word_perplexity,27.744542634338917,0.17197309578507447,0.07370109116685922,10.44598018118852,3.6099868018263015
passed_quality_check,True,True,True,True,True
n_stop_words,365.0,133.0,92.0,323.0,283.0
alpha_ratio,0.8564650059311981,0.9015151515151515,0.8976744186046511,0.8571428571428571,0.848714069591528
mean_word_length,5.01779359430605,5.049242424242424,5.265116279069767,5.0161725067385445,4.954614220877458
doc_length,843.0,264.0,215.0,742.0,661.0
top_ngram_chr_fraction_2,0.011068625477963372,0.009541984732824428,0.013584905660377358,0.012582932967284374,0.014278296988577362
oov_ratio,0.022538552787663108,0.007575757575757576,0.009302325581395349,0.0215633423180593,0.0226928895612708
flesch_reading_ease,32.540855072463785,39.776119246861924,24.530998125585768,30.933441692466488,31.57184064136129
flesch_kincaid_grade,11.767913043478263,11.952375971309028,14.219109653233367,12.091486068111454,11.821296902268763
smog,12.716760846108397,13.81666964889586,15.549919911452193,12.86084465949693,12.566665198450288
gunning_fog,14.09144927536232,15.029408248655114,17.776194939081538,14.230753353973169,13.919851657940663
automated_readability_index,11.088292572463772,12.882618051404663,14.361429240862229,11.340577915376677,10.73555628272252
coleman_liau_index,14.726141304347827,14.646192468619244,16.19525773195876,14.867616099071203,14.424712041884817
lix,43.788405797101454,46.77854154213987,50.62605435801312,43.936016511867905,43.525632635253054
rix,3.8666666666666667,5.071428571428571,5.818181818181818,3.9607843137254903,3.7708333333333335
connectives,20,7,6,20,18
duplicate_ngram_chr_fraction_5,,,0.04981132075471698,,
duplicate_ngram_chr_fraction_6,,,0.04981132075471698,,
