,human-full,continue,human-cont,explain,create
flesch_reading_ease,73.12191278089628,66.53353166496427,72.874183639399,50.02167701863354,48.56473748974571
flesch_kincaid_grade,7.187678541655089,9.004254341164451,7.346507989506321,11.996149068322982,12.210164068908945
smog,10.064110947511566,11.654831186984918,10.125756701596842,13.023866798666859,14.366763438865632
gunning_fog,10.19366049760092,12.495403472931564,10.351557357500596,14.417391304347825,15.934372436423297
automated_readability_index,9.163722929287317,12.76284984678243,9.269647030765562,15.389906832298138,16.387757998359312
coleman_liau_index,10.241267159450892,12.797303370786512,10.113322203672784,14.522608695652174,15.743622641509432
lix,39.42290520387558,48.541879468845764,38.39976150727403,55.91925465838509,58.89253486464315
rix,3.789473684210526,5.7272727272727275,3.642857142857143,7.571428571428571,8.26086956521739
pos_prop_DET,0.08581436077057793,0.08870967741935484,0.07547169811320754,0.07584269662921349,0.0727580372250423
pos_prop_NUM,0.01838879159369527,0.004032258064516129,0.018867924528301886,0.019662921348314606,0.001692047377326565
pos_prop_PUNCT,0.15148861646234676,0.09879032258064516,0.14605171208944795,0.09269662921348315,0.09813874788494077
pos_prop_NOUN,0.20140105078809106,0.23790322580645162,0.1893780573025856,0.25280898876404495,0.2707275803722504
pos_prop_ADJ,0.05516637478108581,0.07258064516129033,0.053109713487071976,0.0702247191011236,0.10152284263959391
pos_prop_VERB,0.11471103327495621,0.13911290322580644,0.12159329140461216,0.14606741573033707,0.13028764805414553
pos_prop_ADP,0.09106830122591944,0.12298387096774194,0.09294199860237597,0.10955056179775281,0.12690355329949238
pos_prop_PRON,0.07180385288966724,0.07056451612903226,0.07058001397624039,0.056179775280898875,0.05583756345177665
pos_prop_PROPN,0.063922942206655,0.012096774193548387,0.07127882599580712,0.03089887640449438,0.00338409475465313
pos_prop_AUX,0.0446584938704028,0.024193548387096774,0.04821802935010482,0.03932584269662921,0.038917089678511
pos_prop_PART,0.03239929947460595,0.018145161290322582,0.033542976939203356,0.028089887640449437,0.02030456852791878
pos_prop_SCONJ,0.013134851138353765,0.02217741935483871,0.012578616352201259,0.019662921348314606,0.01692047377326565
pos_prop_ADV,0.03239929947460595,0.05040322580645161,0.03563941299790356,0.019662921348314606,0.0338409475465313
pos_prop_CCONJ,0.023642732049036778,0.038306451612903226,0.030747728860936407,0.03932584269662921,0.025380710659898477
dependency_distance_mean,2.45199928706512,2.563744564387105,2.5453516860266467,2.686976661001162,2.7025268447517248
dependency_distance_std,0.8624860247937494,0.37744016672466235,0.8386364562429429,0.5400104377644699,0.3930877623047105
prop_adjacent_dependency_relation_mean,0.4563474346112562,0.49560713214988844,0.4424642468419918,0.4948195629330578,0.47761014234172866
prop_adjacent_dependency_relation_std,0.1073724348426372,0.06174048223931252,0.10125116385484495,0.05785384669232143,0.06599687716164968
entropy,33.194918104977695,11.568825682058053,41.78763166200195,8.158322043384599,13.207857046598093
perplexity,260837338538936.25,105749.21588246971,1.406493866493816e+18,3492.321720295714,544627.3327310046
per_word_perplexity,228403974202.2209,213.2040642791728,982874819352771.5,9.809892472740769,921.5352499678588
passed_quality_check,True,True,True,True,True
n_stop_words,476.0,216.0,613.0,144.0,227.0
alpha_ratio,0.8388791593695272,0.8971774193548387,0.8427672955974843,0.8960674157303371,0.9001692047377327
mean_word_length,4.1243432574430825,4.693548387096774,4.1257861635220126,4.96067415730337,5.11336717428088
doc_length,1142.0,496.0,1431.0,356.0,591.0
duplicate_ngram_chr_fraction_5,0.023358697575650327,,0.009853603603603604,0.016346153846153847,0.014672686230248307
duplicate_ngram_chr_fraction_6,0.015926384710670677,,0.009853603603603604,0.016346153846153847,
top_ngram_chr_fraction_2,0.0037161564324898247,0.010826416456153013,0.005067567567567568,0.014423076923076924,0.0056433408577878106
top_ngram_chr_fraction_3,0.004247035922845514,,,0.008653846153846154,
top_ngram_chr_fraction_4,0.006370553884268271,,,0.012980769230769231,
oov_ratio,0.006129597197898424,,0.005590496156533892,,
token_length_mean,4.731784582893347,5.112359550561798,4.701168614357262,5.375776397515528,5.583018867924529
token_length_median,4.0,4.0,4.0,5.0,5.0
token_length_std,2.48583596558334,2.5853441830597133,2.420181280883138,2.7468395480619106,2.817347598399963
sentence_length_mean,16.614035087719298,20.227272727272727,17.114285714285714,23.0,23.043478260869566
sentence_length_median,14.0,20.0,14.5,21.0,21.0
sentence_length_std,11.455105941854914,7.555442458506428,10.834525313806331,9.599107101332766,6.8364640038264195
syllables_per_token_mean,1.3812038014783528,1.4157303370786516,1.3781302170283807,1.5776397515527951,1.5943396226415094
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7532999753539996,0.7586058881751734,0.744320180179756,0.8498428905062616,0.9109222145072962
n_tokens,947,445,1198,322,530
n_unique_tokens,470,290,560,215,334
proportion_unique_tokens,0.4963041182682154,0.651685393258427,0.4674457429048414,0.6677018633540373,0.630188679245283
n_characters,4710,2328,5904,1766,3022
n_sentences,57,22,70,14,23
first_order_coherence,0.6961682051686304,0.8034615857260567,0.7287171890122303,0.8055148858290452,0.8073796196417375
second_order_coherence,0.6628555433316664,0.7873904526233673,0.6828498840332031,0.7905321021874746,0.8072051122075036
connectives,18,17,26,12,12
duplicate_ngram_chr_fraction_7,,,0.009853603603603604,0.016346153846153847,
duplicate_ngram_chr_fraction_8,,,0.009853603603603604,,
pos_prop_X,,,,,0.00338409475465313
