,human-full,create,explain,continue,human-cont
entropy,16.447493192238202,16.785347235581465,16.023869815730258,11.91419567530628,14.24986066262485
perplexity,13901303.799651643,19488736.38922871,9100772.115367241,149372.08327820772,1543959.3208574255
per_word_perplexity,21619.44603367285,24330.507352345456,13583.241963234688,305.46438298201986,2853.8989294961652
passed_quality_check,True,True,True,True,True
n_stop_words,211.0,247.0,227.0,158.0,185.0
alpha_ratio,0.7822706065318819,0.8264669163545568,0.8402985074626865,0.8895705521472392,0.8096118299445472
mean_word_length,4.2006220839813375,4.790262172284645,4.691044776119403,5.413087934560327,4.280961182994455
doc_length,643.0,801.0,670.0,489.0,541.0
duplicate_ngram_chr_fraction_5,0.04779639975170701,,0.03047464940668824,0.014988595633756924,0.05563583815028902
duplicate_ngram_chr_fraction_6,0.02669149596523898,,0.017259978425026967,,0.03106936416184971
duplicate_ngram_chr_fraction_7,0.02669149596523898,,0.017259978425026967,,0.03106936416184971
top_ngram_chr_fraction_2,0.013966480446927373,0.017080745341614908,0.020765911542610573,0.008145975887911373,0.014450867052023121
top_ngram_chr_fraction_3,0.03227808814400993,0.01730257320319432,0.014023732470334413,,0.0328757225433526
top_ngram_chr_fraction_4,0.02638112973308504,0.011313220940550133,0.00889967637540453,,0.024566473988439308
oov_ratio,0.006220839813374806,0.003745318352059925,0.0014925373134328358,,0.005545286506469501
flesch_reading_ease,61.57342996289427,35.78068943560061,47.814439958990164,35.6469528228925,62.60245161290325
flesch_kincaid_grade,9.453307050092768,15.135186107091176,11.908369857747022,13.385979449784557,9.148301075268819
smog,12.226035060777338,16.551014706926132,14.232682905230785,15.151101081350806,11.905187351434009
gunning_fog,12.969016697588126,19.04442257597685,15.621786492374731,16.84061429676279,12.515268817204301
automated_readability_index,10.853682745825601,17.766743849493487,14.111212354222737,17.070048613412887,10.51851612903226
coleman_liau_index,10.949610389610385,14.809609261939222,13.82463667820069,18.010487238979113,10.883182795698925
lix,45.59508348794063,63.53001447178003,55.1444316288607,64.14329908297427,44.83655913978495
rix,5.071428571428571,9.92,7.222222222222222,8.952380952380953,4.88
dependency_distance_mean,2.7550084256138567,3.226007854704358,2.8754210598870227,2.722821979061089,2.6587718298499126
dependency_distance_std,0.9498647092613082,1.0408104655000616,0.6439735679824637,0.529001827620221,0.8268456526832035
prop_adjacent_dependency_relation_mean,0.4455610324218749,0.4673477598190786,0.46062565032479263,0.45753900153551197,0.44967548695963055
prop_adjacent_dependency_relation_std,0.07006688043270491,0.056962428564049594,0.05905191659378143,0.06742567318848232,0.06959220645483699
first_order_coherence,0.676682702921055,0.7730286531150341,0.7570028717701252,0.8358824521303176,0.6959480742613474
second_order_coherence,0.6717524264867489,0.7522631792918496,0.7436690592765808,0.840679899642342,0.6645478360030962
pos_prop_DET,0.07620528771384137,0.049937578027465665,0.0626865671641791,0.07770961145194274,0.08502772643253234
pos_prop_NUM,0.06531881804043546,0.03870162297128589,0.029850746268656716,0.002044989775051125,0.059149722735674676
pos_prop_PUNCT,0.1321928460342146,0.10986267166042447,0.11940298507462686,0.1083844580777096,0.11645101663585952
pos_prop_NOUN,0.28149300155520995,0.3021223470661673,0.29701492537313434,0.3047034764826176,0.28650646950092423
pos_prop_ADJ,0.07309486780715396,0.09612983770287141,0.07761194029850746,0.12883435582822086,0.066543438077634
pos_prop_ADV,0.03265940902021773,0.02871410736579276,0.025373134328358207,0.016359918200409,0.03512014787430684
pos_prop_AUX,0.049766718506998445,0.024968789013732832,0.022388059701492536,0.024539877300613498,0.05545286506469501
pos_prop_VERB,0.07620528771384137,0.09612983770287141,0.11194029850746269,0.1390593047034765,0.07763401109057301
pos_prop_ADP,0.07465007776049767,0.12234706616729088,0.1208955223880597,0.10633946830265849,0.07578558225508318
pos_prop_SCONJ,0.007776049766718507,0.0149812734082397,0.011940298507462687,0.00408997955010225,0.0073937153419593345
pos_prop_PRON,0.024883359253499222,0.03620474406991261,0.03731343283582089,0.03067484662576687,0.022181146025878003
pos_prop_CCONJ,0.04354587869362364,0.02746566791510612,0.034328358208955224,0.032719836400818,0.04066543438077634
pos_prop_PROPN,0.029548989113530325,0.018726591760299626,0.016417910447761194,,0.033271719038817
pos_prop_PART,0.02021772939346812,0.017478152309612985,0.020895522388059702,0.024539877300613498,0.024029574861367836
pos_prop_SYM,0.012441679626749611,0.01373283395755306,0.011940298507462687,,0.014787430683918669
token_length_mean,4.810760667903525,5.387843704775688,5.273356401384083,5.995359628770301,4.808602150537634
token_length_median,4.0,5.0,4.0,6.0,4.0
token_length_std,2.866445112792088,3.128242546309112,3.0203490049549537,3.0257942598844596,2.8367653817267153
sentence_length_mean,19.25,27.64,21.40740740740741,20.523809523809526,18.6
sentence_length_median,16.5,25.0,18.0,22.0,16.0
sentence_length_std,11.915251331202136,11.523471699101794,8.85797092081585,4.5629882399590445,11.845674315968678
syllables_per_token_mean,1.4860853432282004,1.6903039073806079,1.6228373702422145,1.777262180974478,1.4817204301075269
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.8447652186970317,0.9844853174865164,0.9464727330732862,1.0247711185500248,0.8425443080859232
n_tokens,539,691,578,431,465
n_unique_tokens,286,374,306,247,241
proportion_unique_tokens,0.5306122448979592,0.5412445730824892,0.5294117647058824,0.5730858468677494,0.5182795698924731
n_characters,2701,3837,3143,2647,2316
n_sentences,28,25,27,21,25
connectives,14,13,17,13,12
pos_prop_X,,0.0024968789013732834,,,
