,human-full,create,explain,continue,human-cont
entropy,10.139259052471022,4.829982326172503,4.618949182426792,1.0128536195620885,8.785792275734835
perplexity,25317.70044613955,125.2087477174014,101.38743643313236,2.753447105337151,6540.652929185519
per_word_perplexity,33.0087359141324,0.3949802767110454,0.30630645448076244,0.03317406151008616,10.03167627175693
flesch_reading_ease,-16.971498093185176,-26.56894736842102,-10.006737967914404,-22.201352941176424,-14.681639058413197
flesch_kincaid_grade,20.004211573536725,20.691578947368424,18.995246583481876,19.734588235294115,19.75478058703865
smog,17.79939972611514,18.014585035323577,17.326706156963056,16.887214914478655,17.639490048335663
gunning_fog,22.017973802022883,24.10526315789474,21.12964943553179,22.498823529411766,21.575704736995064
automated_readability_index,19.18775866357155,19.932421052631575,18.562566844919786,18.755588235294113,18.896153443766345
coleman_liau_index,22.228282208588954,24.500771929824555,21.52754208754209,23.70235294117646,21.71488288288288
lix,59.33941303266457,65.52631578947368,59.22142998613587,56.247058823529414,58.263586166811976
rix,7.351351351351352,7.578947368421052,7.294117647058823,5.8,7.225806451612903
first_order_coherence,0.43092077458277345,0.588739643080367,0.6179505903273821,0.4439607858657837,0.4708032986770074
second_order_coherence,0.4967915288039616,0.5569251116762376,0.664391303062439,0.4089371810356776,0.5241392933089157
dependency_distance_mean,3.1787212765418165,2.8634906579717763,3.1794108917510453,2.8203070175438594,3.3073123794139745
dependency_distance_std,1.0280450928588802,0.859621850164529,0.7571394016620436,0.16168772649381294,1.0302695244633584
prop_adjacent_dependency_relation_mean,0.46399360026428454,0.4603077563072288,0.4473246702146958,0.45587719298245616,0.46091974831073484
prop_adjacent_dependency_relation_std,0.07312405396843877,0.1025924325385187,0.04842388755053398,0.06520049222132726,0.066532946372252
token_length_mean,6.7530674846625764,7.189473684210526,6.636363636363637,7.088235294117647,6.661261261261261
token_length_median,5.0,7.0,5.0,5.0,5.0
token_length_std,4.477490372785921,4.5258588100608845,4.2989025585416485,4.90118621331386,4.420329186942047
sentence_length_mean,17.62162162162162,15.0,17.470588235294116,13.6,17.903225806451612
sentence_length_median,16.0,15.0,19.0,15.0,17.0
sentence_length_std,7.768096053040426,5.3900493113650985,2.8308728036508155,2.4979991993593593,7.402505411572914
syllables_per_token_mean,2.434049079754601,2.5789473684210527,2.3535353535353534,2.5441176470588234,2.4036036036036035
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.712532347296238,1.766623982480576,1.651322078109684,1.77758778660868,1.6881104062740677
n_tokens,652,285,297,68,555
n_unique_tokens,332,166,188,50,287
proportion_unique_tokens,0.50920245398773,0.5824561403508772,0.632996632996633,0.7352941176470589,0.5171171171171172
n_characters,4518,2081,2005,497,3794
n_sentences,37,19,17,5,31
pos_prop_PROPN,0.06910039113428944,0.025236593059936908,0.03625377643504532,0.04819277108433735,0.0736196319018405
pos_prop_NOUN,0.18904823989569752,0.24605678233438485,0.1933534743202417,0.1927710843373494,0.18558282208588958
pos_prop_CCONJ,0.024771838331160364,0.03785488958990536,0.027190332326283987,0.04819277108433735,0.02147239263803681
pos_prop_ADJ,0.10691003911342895,0.12933753943217666,0.1148036253776435,0.0963855421686747,0.10736196319018405
pos_prop_PUNCT,0.12516297262059975,0.10094637223974763,0.1027190332326284,0.1566265060240964,0.12269938650306748
pos_prop_DET,0.12255541069100391,0.15457413249211358,0.13293051359516617,0.12048192771084337,0.12423312883435583
pos_prop_ADP,0.10821382007822686,0.11356466876971609,0.11782477341389729,0.10843373493975904,0.11042944785276074
pos_prop_VERB,0.048239895697522815,0.07255520504731862,0.0634441087613293,0.04819277108433735,0.049079754601226995
pos_prop_PRON,0.014341590612777053,0.022082018927444796,0.03625377643504532,,0.013803680981595092
pos_prop_ADV,0.10039113428943937,0.03470031545741325,0.07250755287009064,0.10843373493975904,0.09815950920245399
pos_prop_AUX,0.04432855280312908,0.04416403785488959,0.06948640483383686,0.04819277108433735,0.04294478527607362
pos_prop_SCONJ,0.005215123859191656,0.00946372239747634,0.027190332326283987,,0.004601226993865031
pos_prop_NUM,0.024771838331160364,,,0.024096385542168676,0.02607361963190184
pos_prop_PART,0.010430247718383311,0.00946372239747634,0.006042296072507553,,0.012269938650306749
pos_prop_X,0.00651890482398957,,,,0.007668711656441718
passed_quality_check,True,True,True,True,True
n_stop_words,281.0,126.0,155.0,30.0,241.0
alpha_ratio,0.8252933507170795,0.8990536277602523,0.8972809667673716,0.7951807228915663,0.8251533742331288
mean_word_length,5.8904823989569755,6.564668769716088,6.057401812688822,5.9879518072289155,5.819018404907975
doc_length,767.0,317.0,331.0,83.0,652.0
duplicate_ngram_chr_fraction_5,0.023192887514495556,0.03803888419273035,,,0.02756086357372531
top_ngram_chr_fraction_2,0.006957866254348666,0.010566356720202874,0.01086484137331595,,0.008268259072117593
top_ngram_chr_fraction_3,0.00676459219172787,,0.011734028683181226,,0.008038585209003215
top_ngram_chr_fraction_4,0.004638577502899111,,,,0.005512172714745062
oov_ratio,0.08735332464146023,0.10725552050473186,0.07854984894259819,0.18072289156626506,0.0736196319018405
connectives,21,9,11,0,19
duplicate_ngram_chr_fraction_6,,0.03803888419273035,,,
duplicate_ngram_chr_fraction_7,,0.03803888419273035,,,
