,explain,human-full,create,human-cont,continue
pos_prop_DET,0.08459214501510574,0.0457190357439734,0.0891891891891892,0.042008196721311473,0.09322033898305085
pos_prop_NOUN,0.2719033232628399,0.22942643391521197,0.25135135135135134,0.22950819672131148,0.2669491525423729
pos_prop_VERB,0.08157099697885196,0.0831255195344971,0.11351351351351352,0.08196721311475409,0.07838983050847458
pos_prop_ADP,0.14803625377643503,0.11055694098088113,0.12702702702702703,0.10860655737704918,0.1228813559322034
pos_prop_PUNCT,0.12386706948640483,0.15793848711554448,0.11891891891891893,0.15881147540983606,0.13347457627118645
pos_prop_ADV,0.030211480362537766,0.032418952618453865,0.01891891891891892,0.031762295081967214,0.01694915254237288
pos_prop_PRON,0.021148036253776436,0.006650041562759767,0.02702702702702703,0.006147540983606557,0.00847457627118644
pos_prop_ADJ,0.11178247734138973,0.1055694098088113,0.14054054054054055,0.10040983606557377,0.1483050847457627
pos_prop_CCONJ,0.04229607250755287,0.034912718204488775,0.02972972972972973,0.03381147540983607,0.038135593220338986
pos_prop_PROPN,0.054380664652567974,0.09975062344139651,0.02972972972972973,0.10553278688524591,0.038135593220338986
pos_prop_AUX,0.02416918429003021,0.03657522859517872,0.03513513513513514,0.036885245901639344,0.04025423728813559
pos_prop_SCONJ,0.0030211480362537764,0.005818786367414797,0.002702702702702703,0.006147540983606557,
pos_prop_PART,0.0030211480362537764,0.012468827930174564,0.013513513513513514,0.012295081967213115,0.012711864406779662
first_order_coherence,0.8814516663551331,0.6818119078874588,0.8670069070962759,0.649654223553596,0.8268110917674171
second_order_coherence,0.8676034659147263,0.6985196016537838,0.892110546429952,0.698622805128495,0.8350556177251479
token_length_mean,5.70242214532872,5.688728024819028,5.919753086419753,5.698841698841699,5.695331695331696
token_length_median,4.0,4.0,5.0,4.0,5.0
token_length_std,3.4563057585424652,3.50023003165935,3.4720726991125304,3.482541298596998,3.4464029356194716
sentence_length_mean,20.642857142857142,23.585365853658537,23.142857142857142,24.28125,21.42105263157895
sentence_length_median,20.0,23.0,23.5,24.0,21.0
sentence_length_std,4.714826808774071,12.658701065710856,4.703450752329808,13.210399253523718,6.141453535079925
syllables_per_token_mean,1.792387543252595,1.7849017580144777,1.8858024691358024,1.7734877734877734,1.800982800982801
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,1.099769168286077,1.1293121725677224,1.1663686012869077,1.1150854254108824,1.120371567532684
n_tokens,289,967,324,777,407.0
n_unique_tokens,137,399,156,343,173.0
proportion_unique_tokens,0.4740484429065744,0.4126163391933816,0.48148148148148145,0.44144144144144143,0.4250614250614251
n_characters,1690,5737,1964,4627,2383.0
n_sentences,14,41,14,32,19.0
passed_quality_check,True,True,True,True,
n_stop_words,114.0,335.0,126.0,267.0,162.0
alpha_ratio,0.8731117824773413,0.800498753117207,0.8756756756756757,0.7930327868852459,0.8622881355932204
mean_word_length,5.1057401812688825,4.768911055694098,5.308108108108108,4.74077868852459,5.048728813559322
doc_length,331.0,1203.0,370.0,976.0,472.0
duplicate_ngram_chr_fraction_5,0.07099391480730223,0.08579571021448927,0.0933800964489259,0.08451228592702904,0.1788793103448276
duplicate_ngram_chr_fraction_6,0.07099391480730223,0.04889755512224389,0.033318719859710653,0.04765450483991065,0.05962643678160919
duplicate_ngram_chr_fraction_7,0.07099391480730223,0.04439778011099445,,0.042069992553983616,0.032327586206896554
duplicate_ngram_chr_fraction_8,0.07099391480730223,0.02129893505324734,,0.02643335815338794,0.032327586206896554
duplicate_ngram_chr_fraction_9,0.07099391480730223,,,,0.032327586206896554
duplicate_ngram_chr_fraction_10,0.07099391480730223,,,,0.032327586206896554
