,human,continue,explain,create
flesch_reading_ease,13.8930891238671,12.47203254437872,3.609976076555057,-2.7134523809523614
flesch_kincaid_grade,17.19506473888649,15.718159763313611,17.90503987240829,18.275119047619054
smog,16.785175570968402,15.839158084052961,17.946242345024807,17.755912252390015
gunning_fog,19.12481657315494,18.475976331360947,21.27336523125997,21.514285714285712
automated_readability_index,19.106776003452744,16.84071005917159,19.34205741626794,19.149136904761903
coleman_liau_index,18.796495468277943,19.676923076923078,20.73403508771929,21.62178571428571
lix,57.17760034527406,52.402958579881656,60.20095693779904,61.52380952380952
rix,7.928571428571429,6.0,8.181818181818182,8.0
entropy,6.332779585864063,5.593593504171522,4.060354173986355,5.9061339525111425
perplexity,562.7185465739924,268.69945952394903,57.99484770837561,367.28347175638265
per_word_perplexity,1.442868068138442,0.7052479252597087,0.2292286470686783,0.9716493961809065
pos_prop_ADP,0.09230769230769231,0.09448818897637795,0.08300395256916997,0.082010582010582
pos_prop_DET,0.1282051282051282,0.13385826771653545,0.14624505928853754,0.1402116402116402
pos_prop_NOUN,0.18461538461538463,0.2125984251968504,0.21739130434782608,0.24074074074074073
pos_prop_PUNCT,0.15128205128205127,0.11023622047244094,0.09881422924901186,0.10846560846560846
pos_prop_SCONJ,0.023076923076923078,0.026246719160104987,0.023715415019762844,0.023809523809523808
pos_prop_PRON,0.04871794871794872,0.05511811023622047,0.039525691699604744,0.03439153439153439
pos_prop_ADJ,0.06666666666666667,0.06036745406824147,0.09881422924901186,0.07936507936507936
pos_prop_VERB,0.06923076923076923,0.09448818897637795,0.09486166007905138,0.08465608465608465
pos_prop_AUX,0.038461538461538464,0.05774278215223097,0.05533596837944664,0.03968253968253968
pos_prop_ADV,0.10512820512820513,0.10761154855643044,0.10276679841897234,0.09259259259259259
pos_prop_PROPN,0.03076923076923077,0.0026246719160104987,,0.0026455026455026454
pos_prop_NUM,0.015384615384615385,0.005249343832020997,,0.010582010582010581
pos_prop_CCONJ,0.035897435897435895,0.028871391076115485,0.03162055335968379,0.042328042328042326
pos_prop_X,0.002564102564102564,,,0.0026455026455026454
pos_prop_PART,0.007692307692307693,0.010498687664041995,0.007905138339920948,0.015873015873015872
passed_quality_check,True,True,True,True
n_stop_words,170.0,179.0,115.0,164.0
alpha_ratio,0.8333333333333334,0.8818897637795275,0.9011857707509882,0.8756613756613757
mean_word_length,5.325641025641025,5.729658792650919,5.91699604743083,6.007936507936508
doc_length,390.0,381.0,253.0,378.0
duplicate_ngram_chr_fraction_5,0.04154549231408392,,,
duplicate_ngram_chr_fraction_6,0.024927295388450354,,,
duplicate_ngram_chr_fraction_7,0.024927295388450354,,,
duplicate_ngram_chr_fraction_8,0.024927295388450354,,,
top_ngram_chr_fraction_2,0.01038637307852098,0.019040063466878223,0.03192106790481718,0.01918649270913277
top_ngram_chr_fraction_3,0.013710012463647694,0.014280047600158666,0.034822983168891465,0.021488871834228703
oov_ratio,0.04358974358974359,0.013123359580052493,0.015810276679841896,0.010582010582010581
first_order_coherence,0.6107419110261477,0.6910105331947929,0.762919020652771,0.6098137050867081
second_order_coherence,0.5910386616985003,0.6762190990977817,0.7587315506405301,0.6055762014584616
dependency_distance_mean,3.54987025644721,3.5942774002419307,3.5667197825524046,3.0791461387904473
dependency_distance_std,0.865527520051362,0.8621597251809555,0.6239816451722747,0.9165129825758435
prop_adjacent_dependency_relation_mean,0.4248345832943613,0.4191555582522402,0.4314019389981887,0.45539456440879206
prop_adjacent_dependency_relation_std,0.06465211881511251,0.06320984889235044,0.08442699391413487,0.09261797000235697
token_length_mean,6.096676737160121,6.331360946745562,6.456140350877193,6.633928571428571
token_length_median,5.0,6.0,5.0,6.0
token_length_std,3.6776890584861834,3.675799463806454,3.761859261470138,3.9248798943883814
sentence_length_mean,23.642857142857142,16.9,20.727272727272727,18.666666666666668
sentence_length_median,23.0,17.5,20.0,18.0
sentence_length_std,11.33015661761089,4.369210454990695,4.002065582373661,8.212456663169945
syllables_per_token_mean,1.9969788519637461,2.094674556213018,2.1535087719298245,2.2529761904761907
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.333959169546811,1.2928689419995103,1.3598684033701411,1.417888503711387
n_tokens,331,338,228,336
n_unique_tokens,190,188,145,199
proportion_unique_tokens,0.5740181268882175,0.5562130177514792,0.6359649122807017,0.5922619047619048
n_characters,2077,2183,1497,2271
n_sentences,14,20,11,18
connectives,21,15,7,13
connectives_cap,4,6,1,4
top_ngram_chr_fraction_4,,,,0.03223330775134305
