,human-full,continue,create,human-cont,explain
flesch_reading_ease,-38.81051918158565,-46.22458530805682,-55.84273897058819,-26.672165935919026,-53.028085989375796
flesch_kincaid_grade,24.22320277676288,23.450890318212597,25.00758578431373,22.87226711635751,25.851962151394428
smog,20.18553292133499,17.85298416824854,18.7741,19.99863758702354,20.65956897547239
gunning_fog,24.896222141030325,23.658903182125933,25.198529411764707,24.19289038785835,26.37463479415671
automated_readability_index,25.331441359152358,22.870501015572103,24.569691176470585,24.30546374367622,25.26343293492696
coleman_liau_index,27.306035805626596,28.133459715639805,29.82086274509803,25.242495784148392,28.021035856573707
lix,68.76229448301059,63.41266079891672,65.34926470588235,68.40802698145025,68.72543160690572
rix,10.371428571428572,7.285714285714286,7.875,10.6,10.0
pos_prop_NOUN,0.24528301886792453,0.23404255319148937,0.26666666666666666,0.22832369942196531,0.27636363636363637
pos_prop_ADJ,0.08990011098779134,0.09787234042553192,0.11929824561403508,0.0838150289017341,0.09090909090909091
pos_prop_PUNCT,0.11764705882352941,0.10212765957446808,0.10526315789473684,0.12427745664739884,0.08727272727272728
pos_prop_DET,0.12319644839067703,0.12340425531914893,0.12631578947368421,0.12283236994219653,0.13454545454545455
pos_prop_ADP,0.1120976692563818,0.0851063829787234,0.08771929824561403,0.11127167630057803,0.12
pos_prop_PROPN,0.048834628190899,,0.010526315789473684,0.06069364161849711,0.02181818181818182
pos_prop_VERB,0.049944506104328525,0.0851063829787234,0.07368421052631578,0.0476878612716763,0.06909090909090909
pos_prop_PRON,0.025527192008879023,0.029787234042553193,0.017543859649122806,0.02601156069364162,0.025454545454545455
pos_prop_ADV,0.07214206437291898,0.0851063829787234,0.06666666666666667,0.07803468208092486,0.06909090909090909
pos_prop_AUX,0.03440621531631521,0.059574468085106386,0.042105263157894736,0.04046242774566474,0.02181818181818182
pos_prop_CCONJ,0.05327413984461709,0.059574468085106386,0.05964912280701754,0.046242774566473986,0.06545454545454546
pos_prop_SCONJ,0.004439511653718091,0.01276595744680851,0.007017543859649123,0.004335260115606936,0.01090909090909091
pos_prop_X,0.008879023307436182,0.01276595744680851,0.0035087719298245615,0.0072254335260115606,0.007272727272727273
pos_prop_NUM,0.00776914539400666,,,0.010115606936416185,
pos_prop_PART,0.006659267480577136,0.01276595744680851,0.014035087719298246,0.008670520231213872,
entropy,14.580367437282586,3.8517619038867394,4.630603600580878,11.068793461082414,5.1121694866638725
perplexity,2148686.8311238205,47.07593347560144,102.57596033755881,64138.07504864024,166.03016465936744
per_word_perplexity,2384.780056741199,0.20032312117277207,0.3599156503072239,92.68507955005815,0.6037460533067907
token_length_mean,7.556265984654732,7.805687203791469,8.074509803921568,7.192242833052276,7.693227091633466
token_length_median,6.0,6.0,6.0,5.0,6.0
token_length_std,5.452776140903563,5.121756018918161,5.565152188157558,5.130684124975271,5.506742873597735
sentence_length_mean,22.34285714285714,15.071428571428571,15.9375,23.72,20.916666666666668
sentence_length_median,21.0,14.5,16.0,21.0,21.5
sentence_length_std,12.821729005632491,4.905744238197936,5.889277863201905,13.4566563454671,6.664061991174918
syllables_per_token_mean,2.635549872122762,2.81042654028436,2.9137254901960783,2.475548060708263,2.8207171314741037
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.065157212903883,2.0193578135637145,2.1945582974081135,1.9365550012806962,2.2270809427506415
n_tokens,782,211,255,593,251
n_unique_tokens,410,148,170,330,144
proportion_unique_tokens,0.5242966751918159,0.7014218009478673,0.6666666666666666,0.5564924114671164,0.5737051792828686
n_characters,6028,1671,2089,4364,1955
n_sentences,35,14,16,25,12
dependency_distance_mean,3.555313388660736,3.2661243518386374,2.699695561940113,3.763470155620677,3.0461611930710677
dependency_distance_std,1.5479940191586614,0.8550781931220517,0.8704171486386251,1.5584760600568694,0.7019654496184028
prop_adjacent_dependency_relation_mean,0.4613202583160079,0.43546780600352036,0.4409178497021332,0.45309783158921635,0.5212116492385211
prop_adjacent_dependency_relation_std,0.06939949248665805,0.10614167485215614,0.13083094711843007,0.05991896757003925,0.05899690059334445
passed_quality_check,True,True,True,True,True
n_stop_words,361.0,101.0,114.0,281.0,116.0
alpha_ratio,0.8601553829078802,0.8978723404255319,0.8947368421052632,0.8482658959537572,0.9127272727272727
mean_word_length,6.690344062153163,7.110638297872341,7.329824561403509,6.30635838150289,7.109090909090909
doc_length,901.0,235.0,285.0,692.0,275.0
duplicate_ngram_chr_fraction_5,0.028479154433352905,,,0.018145161290322582,0.07346938775510205
duplicate_ngram_chr_fraction_6,0.01849677040516735,,,,0.07346938775510205
duplicate_ngram_chr_fraction_7,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_8,0.01849677040516735,,,,
duplicate_ngram_chr_fraction_9,0.01849677040516735,,,,
top_ngram_chr_fraction_2,0.008220786846741044,,0.008962868117797696,0.01129032258064516,0.009070294784580499
top_ngram_chr_fraction_3,0.010275983558426306,,,0.014112903225806451,0.023582766439909298
top_ngram_chr_fraction_4,0.008807985907222548,,,0.012096774193548387,
oov_ratio,0.04550499445061043,0.02127659574468085,0.021052631578947368,0.03757225433526012,0.025454545454545455
first_order_coherence,0.5753927565289333,0.8198113533166739,0.7623971323172252,0.567465031092676,0.7569197903979908
second_order_coherence,0.5490258456856916,0.809104656179746,0.7497163585254124,0.5976861708838007,0.7284232825040817
connectives,34,5,8,30,12
