,create,human,explain,continue
token_length_mean,5.504118616144975,4.80410447761194,5.36870026525199,5.102119460500964
token_length_median,5.0,4.0,5.0,4.0
token_length_std,2.9858920620191647,2.5838299446972663,2.845141357678445,2.756525859527816
sentence_length_mean,20.93103448275862,26.8,23.5625,15.727272727272727
sentence_length_median,21.0,24.0,24.0,15.0
sentence_length_std,5.860040216896,13.295111883696205,6.800448055091664,5.30450196030051
syllables_per_token_mean,1.6062602965403625,1.3936567164179106,1.506631299734748,1.489402697495183
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9156305259697037,0.7555002702023245,0.7949332617178083,0.8255222143992927
n_tokens,607,536,377,519
n_unique_tokens,341,282,225,274
proportion_unique_tokens,0.5617792421746294,0.5261194029850746,0.596816976127321,0.5279383429672447
n_characters,3429,2654,2077,2725
n_sentences,29,20,16,33
dependency_distance_mean,2.9797596856491912,3.097550238573864,3.180333225120874,2.5202254164556326
dependency_distance_std,0.6243085725062579,1.1065182760901473,0.5968325853416674,0.4345226539158053
prop_adjacent_dependency_relation_mean,0.44140728247509736,0.40882294607908554,0.45365428288596243,0.4352122293611737
prop_adjacent_dependency_relation_std,0.06202078167841884,0.11550767531914964,0.06370663761421082,0.08344600986620668
entropy,19.727962892164165,17.109679307406076,11.533658040182406,17.554915977230802
perplexity,369611455.7197316,26954998.397206403,102094.89880606616,42072966.95102456
per_word_perplexity,531815.0442010527,44116.20032276007,239.65938686869993,71069.20093078473
first_order_coherence,0.8459733383996146,0.7391895600839665,0.8295045614242553,0.8194695003330708
second_order_coherence,0.8332988995092886,0.7133349639674028,0.8033654476915087,0.8127007080662635
flesch_reading_ease,49.70037891268535,61.729641791044784,55.45805454244032,64.8683499737257
flesch_kincaid_grade,11.526974947452143,11.307149253731342,11.377624336870024,8.118588194079525
smog,13.359377425705354,12.251624239485473,12.273956033585218,11.389717465364857
gunning_fog,14.500914616826677,14.525970149253732,13.775132625994695,11.608828166053598
automated_readability_index,14.959915923422137,14.59733208955224,15.63782824933687,10.464619022595901
coleman_liau_index,15.150049423393735,11.343656716417907,14.511724137931036,12.318381502890173
lix,56.680622621144124,52.919402985074626,57.249502652519894,43.28025923979681
rix,7.482758620689655,7.0,7.9375,4.333333333333333
pos_prop_NOUN,0.26618705035971224,0.2144026186579378,0.25821596244131456,0.2652027027027027
pos_prop_PUNCT,0.1237410071942446,0.11456628477905073,0.10093896713615023,0.11655405405405406
pos_prop_VERB,0.1223021582733813,0.09328968903436989,0.12441314553990611,0.15033783783783783
pos_prop_PROPN,0.014388489208633094,0.027823240589198037,0.046948356807511735,0.005067567567567568
pos_prop_ADP,0.10647482014388489,0.10801963993453355,0.11267605633802817,0.08952702702702703
pos_prop_DET,0.060431654676258995,0.07692307692307693,0.06807511737089202,0.048986486486486486
pos_prop_ADJ,0.08633093525179857,0.09328968903436989,0.07981220657276995,0.05574324324324324
pos_prop_SCONJ,0.012949640287769784,0.02618657937806874,0.01643192488262911,0.013513513513513514
pos_prop_AUX,0.04892086330935252,0.060556464811783964,0.03990610328638498,0.04560810810810811
pos_prop_PRON,0.04892086330935252,0.05073649754500818,0.03990610328638498,0.08952702702702703
pos_prop_PART,0.02302158273381295,0.022913256955810146,0.028169014084507043,0.030405405405405407
pos_prop_ADV,0.04316546762589928,0.057283142389525366,0.03286384976525822,0.03547297297297297
pos_prop_CCONJ,0.03884892086330935,0.03436988543371522,0.03755868544600939,0.04560810810810811
pos_prop_NUM,0.004316546762589928,0.019639934533551555,0.014084507042253521,0.008445945945945946
passed_quality_check,True,True,True,True
n_stop_words,261.0,269.0,158.0,245.0
alpha_ratio,0.8719424460431655,0.8739770867430442,0.8896713615023474,0.8817567567567568
mean_word_length,4.933812949640288,4.343698854337152,4.875586854460094,4.60304054054054
doc_length,695.0,611.0,426.0,592.0
top_ngram_chr_fraction_2,0.019865905140302956,0.011104256631708822,0.039199673336055535,0.02776920703486578
top_ngram_chr_fraction_3,0.005959771542090887,0.009253547193090685,,0.012341869793273681
connectives,14,22,7,14
connectives_cap,1,3,0,1
duplicate_ngram_chr_fraction_5,,0.02652683528685996,,
duplicate_ngram_chr_fraction_6,,0.015422578655151141,,
oov_ratio,,0.011456628477905073,0.02112676056338028,
