,human,continue,explain,create
dependency_distance_mean,3.229285899860434,2.8589222599210213,3.1032497025487813,2.6072365177821837
dependency_distance_std,1.145744199554367,0.502303025410289,0.9276556496401127,0.9200846591991194
prop_adjacent_dependency_relation_mean,0.46495741050606476,0.4458851626185992,0.4664289624003487,0.45477068631939954
prop_adjacent_dependency_relation_std,0.06923560006851362,0.08159878368202489,0.05855351136050344,0.09647519726699211
first_order_coherence,0.5520197324454784,0.6712683687607447,0.5416981279850006,0.3964763489672013
second_order_coherence,0.521001124852582,0.6981694529885831,0.5402658393508509,0.32896433196340996
entropy,6.796052947868128,6.756588214639528,6.570553778817441,5.623198647426222
perplexity,894.3104262716298,859.7040607674043,713.7650016461047,276.7732689661867
per_word_perplexity,1.8670363805253232,2.0276039169042552,1.736654505221666,0.5964941141512645
passed_quality_check,True,True,True,True
n_stop_words,180.0,192.0,178.0,177.0
alpha_ratio,0.8162839248434238,0.9056603773584906,0.8613138686131386,0.8771551724137931
mean_word_length,6.062630480167015,6.28066037735849,6.10705596107056,6.670258620689655
doc_length,479.0,424.0,411.0,464.0
duplicate_ngram_chr_fraction_5,0.0054446460980036296,,0.03349616189811584,
top_ngram_chr_fraction_2,0.009679370840895343,0.007879185817465528,0.04012561060711793,0.015705311250713876
top_ngram_chr_fraction_3,0.01058681185722928,,0.0157013258897418,0.026270702455739578
top_ngram_chr_fraction_4,0.007259528130671506,,,
oov_ratio,0.11482254697286012,0.0589622641509434,0.07542579075425791,0.08836206896551724
flesch_reading_ease,-29.356766917293186,-14.086649999999992,-20.142689075630244,-30.047426470588192
flesch_kincaid_grade,22.074135338345865,19.039983333333335,20.292100840336136,20.617794117647062
smog,18.649436658719743,16.887214914478655,17.931933174767593,16.450337484745926
gunning_fog,23.138847117794487,21.24816666666667,22.598319327731094,22.158823529411766
automated_readability_index,21.405939849624062,18.422734375000005,19.472689075630257,20.02757352941176
coleman_liau_index,24.25894736842105,22.43760416666667,22.910588235294117,25.67578431372549
lix,63.611528822055135,58.84958333333333,61.81792717086835,62.01470588235294
rix,8.476190476190476,6.68,7.619047619047619,6.28125
token_length_mean,7.0776942355889725,6.830729166666667,6.879551820728292,7.448529411764706
token_length_median,6.0,6.0,6.0,6.0
token_length_std,4.741591020983097,4.291463606391488,4.614500567278093,4.587098039676668
sentence_length_mean,19.0,15.36,17.0,12.75
sentence_length_median,16.0,15.0,16.0,13.0
sentence_length_std,10.244626930854093,3.3212046007435316,6.25642526870234,5.232112384114087
syllables_per_token_mean,2.56390977443609,2.4270833333333335,2.4789915966386555,2.6470588235294117
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9182021532235016,1.6785707689546154,1.7815522430979585,1.748372121423573
n_tokens,399,384,357,408
n_unique_tokens,240,224,201,242
proportion_unique_tokens,0.6015037593984962,0.5833333333333334,0.5630252100840336,0.5931372549019608
n_characters,2904,2663,2510,3095
n_sentences,21,25,21,32
pos_prop_DET,0.12734864300626306,0.16981132075471697,0.1386861313868613,0.15948275862068967
pos_prop_NOUN,0.21085594989561587,0.23349056603773585,0.23357664233576642,0.2629310344827586
pos_prop_AUX,0.06889352818371608,0.06132075471698113,0.04866180048661801,0.04525862068965517
pos_prop_ADV,0.07306889352818371,0.06367924528301887,0.0535279805352798,0.05603448275862069
pos_prop_PUNCT,0.1544885177453027,0.09433962264150944,0.13138686131386862,0.1206896551724138
pos_prop_ADJ,0.06680584551148225,0.09669811320754718,0.06569343065693431,0.10560344827586207
pos_prop_ADP,0.07933194154488518,0.07547169811320754,0.09002433090024331,0.09267241379310345
pos_prop_PROPN,0.05845511482254697,0.0047169811320754715,0.014598540145985401,0.01939655172413793
pos_prop_VERB,0.07933194154488518,0.08962264150943396,0.0948905109489051,0.07327586206896551
pos_prop_PRON,0.016701461377870562,0.02358490566037736,0.024330900243309004,0.021551724137931036
pos_prop_PART,0.014613778705636743,0.02358490566037736,0.0267639902676399,0.00646551724137931
pos_prop_CCONJ,0.018789144050104383,0.04245283018867924,0.031630170316301706,0.021551724137931036
pos_prop_SCONJ,0.012526096033402923,0.02122641509433962,0.024330900243309004,0.01293103448275862
pos_prop_NUM,0.012526096033402923,,0.012165450121654502,0.0021551724137931034
pos_prop_X,0.006263048016701462,,0.009732360097323601,
connectives,13,11,15,13
connectives_cap,1,4,0,7
duplicate_ngram_chr_fraction_6,,,0.03349616189811584,
