,human,explain,create,continue
entropy,5.91067032792497,4.477073718812642,4.98420488534352,4.042847347232743
perplexity,368.9533922970735,87.97685062681374,146.08737262406265,56.98837771074938
per_word_perplexity,0.9583204994729182,0.30761136582802007,0.395900738818598,0.21668584680893302
first_order_coherence,0.5507435868183772,0.6837648336703961,0.7243794111105112,0.6168782984217008
second_order_coherence,0.4788457082052316,0.6890143056710561,0.7177080710728964,0.5966064794497057
pos_prop_PROPN,0.09090909090909091,0.055944055944055944,0.08130081300813008,0.06463878326996197
pos_prop_PUNCT,0.15064935064935064,0.09090909090909091,0.10569105691056911,0.11787072243346007
pos_prop_NOUN,0.18441558441558442,0.24125874125874125,0.23035230352303523,0.21673003802281368
pos_prop_VERB,0.05454545454545454,0.08391608391608392,0.05962059620596206,0.07224334600760456
pos_prop_ADP,0.11688311688311688,0.12237762237762238,0.10569105691056911,0.09125475285171103
pos_prop_ADJ,0.10909090909090909,0.09090909090909091,0.11924119241192412,0.09885931558935361
pos_prop_DET,0.13766233766233765,0.15384615384615385,0.15718157181571815,0.12547528517110265
pos_prop_ADV,0.04935064935064935,0.04195804195804196,0.04878048780487805,0.057034220532319393
pos_prop_AUX,0.023376623376623377,0.024475524475524476,0.02710027100271003,0.045627376425855515
pos_prop_NUM,0.007792207792207792,0.0034965034965034965,0.0027100271002710027,0.0038022813688212928
pos_prop_PRON,0.03116883116883117,0.03146853146853147,0.016260162601626018,0.030418250950570342
pos_prop_X,0.01038961038961039,0.0034965034965034965,,
pos_prop_CCONJ,0.015584415584415584,0.02097902097902098,0.032520325203252036,0.049429657794676805
pos_prop_PART,0.015584415584415584,0.02097902097902098,0.008130081300813009,0.019011406844106463
pos_prop_SCONJ,0.0025974025974025974,0.013986013986013986,0.005420054200542005,0.0076045627376425855
dependency_distance_mean,3.3819851732905963,3.229781235980974,3.0666942274800735,3.1705158337546093
dependency_distance_std,1.5077821394913031,0.6375777298811708,0.5924078742203377,0.5821336812393737
prop_adjacent_dependency_relation_mean,0.4055761443605449,0.4230199616772026,0.4624218746289564,0.42416316816616667
prop_adjacent_dependency_relation_std,0.12397281609759216,0.07985785202828483,0.051901229576282716,0.09480449289816424
token_length_mean,6.419254658385094,6.280769230769231,6.824242424242424,6.551724137931035
token_length_median,5.0,5.0,6.0,6.0
token_length_std,4.033401159109318,3.638735962980005,3.793857100472584,3.4499995691809
sentence_length_mean,20.125,18.571428571428573,23.571428571428573,17.846153846153847
sentence_length_median,17.5,19.5,22.0,17.0
sentence_length_std,11.623655836267693,4.030495994190252,7.8985919695880495,6.746465215163291
syllables_per_token_mean,2.080745341614907,2.05,2.175757575757576,2.103448275862069
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.3603760682070047,1.2284292659890765,1.2526409200420605,1.1054669035800304
n_tokens,322,260,330.0,232
n_unique_tokens,213,162,187.0,141
proportion_unique_tokens,0.6614906832298136,0.6230769230769231,0.5666666666666667,0.6077586206896551
n_characters,2130,1659,2291.0,1551
n_sentences,16,14,14.0,13
flesch_reading_ease,10.3770690993789,14.555000000000035,-1.1590909090909065,10.769429708222845
flesch_kincaid_grade,16.811545031055903,15.842857142857142,19.276796536796542,16.190689655172417
smog,16.90203249003276,16.17404787264403,18.848423458724294,17.211828456134867
gunning_fog,19.6027950310559,18.65934065934066,22.27705627705628,20.759151193633954
automated_readability_index,18.86718944099379,17.438137362637363,22.497896103896103,18.351697612732096
coleman_liau_index,20.4744099378882,19.537076923076928,23.070787878787872,21.065517241379307
lix,58.01319875776397,57.80219780219781,70.23809523809524,66.55305039787798
rix,7.625,7.285714285714286,11.0,8.692307692307692
passed_quality_check,True,True,,True
n_stop_words,146.0,122.0,138.0,107.0
alpha_ratio,0.8207792207792208,0.8986013986013986,0.8861788617886179,0.8783269961977186
mean_word_length,5.532467532467533,5.800699300699301,6.208672086720867,5.897338403041825
doc_length,385.0,286.0,369.0,263.0
top_ngram_chr_fraction_2,0.01142390860873113,0.007820646506777894,0.03625954198473282,0.020202020202020204
top_ngram_chr_fraction_3,0.013055895552835577,,0.012595419847328244,0.03367003367003367
oov_ratio,0.08051948051948052,0.045454545454545456,0.018970189701897018,0.030418250950570342
connectives,12,7,12.0,9
duplicate_ngram_chr_fraction_5,,,0.18129770992366412,0.06734006734006734
duplicate_ngram_chr_fraction_6,,,0.1717557251908397,0.06734006734006734
duplicate_ngram_chr_fraction_7,,,0.11908396946564885,0.06734006734006734
duplicate_ngram_chr_fraction_8,,,0.09236641221374046,
duplicate_ngram_chr_fraction_9,,,0.09236641221374046,
duplicate_ngram_chr_fraction_10,,,0.09236641221374046,
top_ngram_chr_fraction_4,,,0.02748091603053435,0.03591470258136925
