,human,continue,explain,create
pos_prop_NOUN,0.20973154362416108,0.25510204081632654,0.25239005736137665,0.265748031496063
pos_prop_AUX,0.05201342281879195,0.014285714285714285,0.040152963671128104,0.02952755905511811
pos_prop_ADJ,0.08389261744966443,0.09795918367346938,0.08986615678776291,0.09645669291338582
pos_prop_ADP,0.14429530201342283,0.12040816326530612,0.14340344168260039,0.13582677165354332
pos_prop_PUNCT,0.12919463087248323,0.08979591836734693,0.124282982791587,0.08661417322834646
pos_prop_SCONJ,0.020134228187919462,0.018367346938775512,0.019120458891013385,0.02952755905511811
pos_prop_VERB,0.09731543624161074,0.1489795918367347,0.10516252390057361,0.14566929133858267
pos_prop_PRON,0.04194630872483222,0.05102040816326531,0.019120458891013385,0.047244094488188976
pos_prop_DET,0.08221476510067115,0.08571428571428572,0.09369024856596558,0.07677165354330709
pos_prop_ADV,0.031879194630872486,0.04081632653061224,0.02676864244741874,0.01968503937007874
pos_prop_CCONJ,0.015100671140939598,0.026530612244897958,0.0248565965583174,0.01968503937007874
pos_prop_X,0.020134228187919462,,0.0038240917782026767,0.003937007874015748
pos_prop_PROPN,0.04530201342281879,0.024489795918367346,0.040152963671128104,0.027559055118110236
pos_prop_NUM,0.013422818791946308,,0.0038240917782026767,
pos_prop_PART,0.013422818791946308,0.026530612244897958,0.01338432122370937,0.015748031496062992
token_length_mean,5.337254901960784,6.045351473922903,5.774834437086093,5.9564270152505445
token_length_median,4.0,5.0,5.0,5.0
token_length_std,3.3207582871524477,3.3769570526471013,3.4298498517721594,3.4550107404103376
sentence_length_mean,25.5,18.375,19.695652173913043,21.857142857142858
sentence_length_median,26.0,18.0,19.0,21.0
sentence_length_std,14.793579688500008,4.171455581288942,6.576868440809247,4.733726150223112
syllables_per_token_mean,1.6372549019607843,1.8095238095238095,1.7262693156732891,1.8148148148148149
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0077077043359008,1.0942024088643865,1.067332913283442,1.1195035268074567
n_tokens,510,441,453,459.0
n_unique_tokens,212,211,206,197.0
proportion_unique_tokens,0.41568627450980394,0.47845804988662133,0.45474613686534215,0.42919389978213507
n_characters,2808,2717,2688,2783.0
n_sentences,20,24,23,21.0
first_order_coherence,0.6973350055907902,0.8563189195550006,0.8225926106626337,0.8570836097002029
second_order_coherence,0.6802959528027309,0.8486537066372958,0.8290125472205025,0.874933804336347
flesch_reading_ease,42.44073529411767,35.09866071428573,40.801528937518015,31.116666666666674
flesch_kincaid_grade,13.674607843137256,12.928630952380956,12.461282272770898,14.349100529100532
smog,16.03029750255766,15.134931603849854,14.554592549557764,15.903189008614273
gunning_fog,18.2,16.96451247165533,16.001881178615992,17.893183940242764
automated_readability_index,16.458470588235294,16.231105442176876,15.617296285632023,17.55334267040149
coleman_liau_index,14.422274509803923,18.13578231292517,16.653156732891834,17.86954248366013
lix,60.009803921568626,61.45890022675737,59.87225261541414,61.726423902894496
rix,8.8,7.916666666666667,7.913043478260869,8.714285714285714
entropy,15.963820377334196,12.284199463173051,13.334038630558704,11.404337869659111
perplexity,8570360.69112531,216251.9545582756,617873.2575637191,89710.03095944502
per_word_perplexity,14379.799817324345,441.33051950668494,1181.4020221103615,176.5945491327658
dependency_distance_mean,2.9864149023694977,2.6171351681864308,2.7258076098286192,2.6369232959014477
dependency_distance_std,1.2458130536071628,0.3605345428223407,0.48487475047215167,0.34266646010561885
prop_adjacent_dependency_relation_mean,0.445019672367838,0.46112639520307613,0.4661877584554593,0.4529783103581731
prop_adjacent_dependency_relation_std,0.06285624922715986,0.06557059897222191,0.07943516608012731,0.0504504398593656
passed_quality_check,True,True,True,
n_stop_words,238.0,188.0,199.0,186.0
alpha_ratio,0.8489932885906041,0.9040816326530612,0.8661567877629063,0.9015748031496063
mean_word_length,4.7114093959731544,5.544897959183674,5.139579349904397,5.478346456692913
doc_length,596.0,490.0,523.0,508.0
duplicate_ngram_chr_fraction_5,0.07678355501813784,0.01648177496038035,0.08019169329073482,0.14087117701575533
duplicate_ngram_chr_fraction_6,0.02720677146311971,,0.040255591054313096,0.14087117701575533
duplicate_ngram_chr_fraction_7,0.016928657799274487,,,0.14087117701575533
top_ngram_chr_fraction_2,0.018137847642079808,0.01901743264659271,0.017252396166134186,0.018535681186283594
top_ngram_chr_fraction_3,0.007557436517533253,0.015213946117274169,0.005111821086261981,0.011121408711770158
top_ngram_chr_fraction_4,0.012091898428053204,,0.019169329073482427,0.019462465245597776
oov_ratio,0.0016778523489932886,0.006122448979591836,0.0019120458891013384,0.003937007874015748
connectives,8,11,11,5.0
connectives_cap,1,3,1,1.0
duplicate_ngram_chr_fraction_8,,,,0.14087117701575533
duplicate_ngram_chr_fraction_9,,,,0.07352486870559159
