,human,continue,create,explain
pos_prop_NOUN,0.25622775800711745,0.3058252427184466,0.31155778894472363,0.31976744186046513
pos_prop_AUX,0.028469750889679714,0.02669902912621359,0.02763819095477387,0.01744186046511628
pos_prop_ADJ,0.10498220640569395,0.11650485436893204,0.11055276381909548,0.12209302325581395
pos_prop_ADP,0.11921708185053381,0.09951456310679611,0.15326633165829145,0.11046511627906977
pos_prop_PUNCT,0.11921708185053381,0.13349514563106796,0.09296482412060302,0.09883720930232558
pos_prop_PRON,0.021352313167259787,0.024271844660194174,0.020100502512562814,0.040697674418604654
pos_prop_VERB,0.08718861209964412,0.08495145631067962,0.09045226130653267,0.10465116279069768
pos_prop_PART,0.01601423487544484,0.02912621359223301,0.01507537688442211,0.01744186046511628
pos_prop_DET,0.06583629893238434,0.07766990291262135,0.08542713567839195,0.0755813953488372
pos_prop_ADV,0.030249110320284697,0.03155339805825243,0.032663316582914576,0.01744186046511628
pos_prop_X,0.01601423487544484,,0.002512562814070352,
pos_prop_PROPN,0.028469750889679714,,,
pos_prop_CCONJ,0.05516014234875445,0.04854368932038835,0.04522613065326633,0.05232558139534884
pos_prop_SCONJ,0.019572953736654804,0.009708737864077669,0.005025125628140704,0.01744186046511628
pos_prop_NUM,0.03202846975088968,0.012135922330097087,0.007537688442211055,
first_order_coherence,0.8655671030282974,0.877542607486248,0.8482345938682556,0.9148046374320984
second_order_coherence,0.8472072969783436,0.8735146681467693,0.829843707382679,0.9166136831045151
passed_quality_check,True,,,True
n_stop_words,197.0,143.0,148.0,58.0
alpha_ratio,0.8380782918149466,0.8543689320388349,0.8894472361809045,0.8953488372093024
mean_word_length,4.871886120996441,5.492718446601942,5.683417085427136,5.6395348837209305
doc_length,562.0,412.0,398.0,172.0
duplicate_ngram_chr_fraction_5,0.014906832298136646,0.21859393008067615,0.24521072796934865,
top_ngram_chr_fraction_2,0.006211180124223602,0.043027276219746446,0.0367816091954023,0.03214285714285714
top_ngram_chr_fraction_3,0.007763975155279503,0.043027276219746446,0.01954022988505747,
top_ngram_chr_fraction_4,0.0055900621118012426,0.042258932001536686,0.040229885057471264,
oov_ratio,0.0017793594306049821,0.019417475728155338,0.017587939698492462,0.005813953488372093
entropy,14.209106266953608,11.936161811925235,11.013170956872617,4.5182291337716975
perplexity,1482301.1464878344,152689.5130338394,60667.957635631064,91.67311333089074
per_word_perplexity,2637.546523999705,370.60561415980436,152.43205436088206,0.5329832170400625
flesch_reading_ease,22.4170680958386,20.223643048128366,10.045472689075638,18.175541125541145
flesch_kincaid_grade,19.458196721311477,15.58245320855615,19.248914565826336,17.100519480519484
smog,19.441812881015885,17.258936766885295,20.027631371098494,18.422482065455632
gunning_fog,23.703909205548552,20.10053475935829,23.664705882352944,21.435497835497838
automated_readability_index,23.05119798234552,18.37382185828877,22.747268907563026,20.519696969696973
coleman_liau_index,15.510491803278683,19.53715909090909,19.786218487394958,19.39584415584415
lix,73.39911727616646,66.44451871657755,76.52871148459383,73.06926406926407
rix,13.461538461538462,9.470588235294118,13.916666666666666,12.166666666666666
token_length_mean,5.459016393442623,6.252840909090909,6.221288515406163,6.181818181818182
token_length_median,5.0,6.0,6.0,6.0
token_length_std,3.142510067497226,3.357698565462401,3.497705613429387,3.280114318277356
sentence_length_mean,37.53846153846154,20.705882352941178,29.75,25.666666666666668
sentence_length_median,36.0,18.0,31.0,24.5
sentence_length_std,17.796349602421213,7.1105944641230945,10.042617520679888,5.934831271588285
syllables_per_token_mean,1.7295081967213115,1.9573863636363635,1.9691876750700281,1.922077922077922
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0791381294309965,1.2088226750909539,1.2306326678165973,1.1539456171911409
n_tokens,488,352.0,357.0,154
n_unique_tokens,233,155.0,162.0,97
proportion_unique_tokens,0.4774590163934426,0.4403409090909091,0.453781512605042,0.6298701298701299
n_characters,2738,2263.0,2262.0,970
n_sentences,13,17.0,12.0,6
dependency_distance_mean,4.111955389112184,2.9384749100316268,2.871165952814158,3.0693288603371705
dependency_distance_std,1.5768874090777223,0.829684778789271,0.8307245853085378,0.40774483154202634
prop_adjacent_dependency_relation_mean,0.4178676319124731,0.4931133694316334,0.4907885503989342,0.5093816298674847
prop_adjacent_dependency_relation_std,0.05828198202539915,0.046127075713305016,0.032790331845345105,0.046915669532628115
connectives,9,11.0,4.0,1
duplicate_ngram_chr_fraction_6,,0.1298501728774491,0.1578544061302682,
duplicate_ngram_chr_fraction_7,,0.1298501728774491,0.12260536398467432,
duplicate_ngram_chr_fraction_8,,0.06069919323857088,0.08352490421455938,
duplicate_ngram_chr_fraction_9,,0.06069919323857088,0.0475095785440613,
duplicate_ngram_chr_fraction_10,,0.06069919323857088,,
pos_prop_SYM,,,,0.005813953488372093
